Date,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,TOTAL
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,7
2020-03-06,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,14
2020-03-07,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,19
2020-03-08,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,25
2020-03-09,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,25
2020-03-10,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,19,0,34
2020-03-11,0,1,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,13,0,0,0,2,0,0,30,0,53
2020-03-12,0,1,0,0,3,0,2,1,3,0,2,0,0,0,0,2,0,6,16,1,0,0,4,2,0,46,0,89
2020-03-13,0,1,2,0,7,0,2,1,3,0,2,0,0,0,0,2,0,6,16,1,0,0,4,3,0,56,0,106
2020-03-14,0,1,2,0,7,0,8,1,4,0,4,2,0,0,0,7,0,6,22,1,0,0,6,5,1,65,0,142
2020-03-15,0,1,2,0,9,0,14,1,4,0,4,2,0,0,0,8,0,6,31,1,0,0,6,6,1,136,0,232
2020-03-16,0,1,2,0,10,9,19,1,9,0,6,4,0,0,0,8,0,6,38,1,0,0,10,7,5,152,0,288
2020-03-17,3,1,2,0,14,10,22,1,10,0,14,6,0,0,0,18,0,12,40,1,0,0,12,7,5,164,0,342
2020-03-18,3,1,2,0,27,19,34,9,12,0,19,7,0,1,1,19,0,15,78,1,0,0,23,14,6,241,1,533
2020-03-19,4,4,3,0,31,24,42,22,15,0,29,9,0,1,1,28,3,24,81,1,0,0,35,21,6,286,1,671
2020-03-20,7,6,7,1,34,68,87,25,18,1,38,12,1,2,1,31,4,37,124,6,1,0,47,40,7,396,1,1002
2020-03-21,11,7,11,1,41,84,108,35,20,2,55,16,2,2,1,33,4,44,134,9,3,2,73,57,10,459,2,1226
2020-03-22,11,7,26,1,55,125,117,35,21,2,83,21,2,4,1,37,6,54,201,13,3,2,81,68,10,631,5,1622
2020-03-23,17,8,32,1,63,164,138,42,23,8,128,21,6,5,2,42,6,60,248,13,3,2,100,86,10,745,7,1980
2020-03-24,21,10,47,1,79,185,161,49,29,8,130,24,7,5,3,42,8,70,320,14,5,8,116,109,15,810,7,2283
2020-03-25,23,11,54,2,91,211,195,49,35,8,133,24,9,7,5,46,9,97,385,14,5,8,166,122,16,862,7,2594
2020-03-26,24,11,67,2,108,237,201,57,39,10,153,25,11,13,6,48,9,106,436,19,6,10,194,149,16,1053,8,3018
2020-03-27,26,12,81,3,123,282,241,63,49,13,189,28,11,16,10,57,10,125,508,28,6,12,201,163,16,1223,9,3505
2020-03-28,26,14,111,4,127,322,260,70,56,15,205,31,13,18,14,68,11,137,573,68,6,16,204,184,16,1406,9,3984
2020-03-29,35,17,140,8,156,359,298,81,58,21,231,36,16,20,14,73,14,152,615,68,6,16,234,197,16,1451,10,4342
2020-03-30,43,17,151,8,176,382,312,94,61,30,261,44,18,26,17,78,21,160,672,77,8,16,258,219,18,1517,11,4695
2020-03-31,44,18,175,10,217,401,333,106,65,51,275,48,25,34,18,87,21,185,723,82,9,16,309,235,19,2339,12,5857
2020-04-01,45,18,200,11,246,445,370,129,73,70,314,51,28,41,21,95,22,229,847,92,9,26,320,247,22,2981,12,6964
2020-04-02,47,18,229,12,267,565,400,148,73,80,370,53,41,49,29,106,22,258,1007,106,10,30,390,281,24,3506,12,8133
2020-04-03,48,23,260,19,290,658,419,162,88,87,397,60,44,75,32,136,25,307,1089,176,10,37,414,301,27,4048,13,9245
2020-04-04,48,23,311,29,336,745,456,175,103,95,430,62,60,82,34,176,27,401,1261,215,11,42,422,356,32,4466,16,10414
2020-04-05,50,28,417,32,401,963,468,203,115,132,498,65,60,86,35,201,27,445,1409,246,14,42,472,379,32,4620,17,11457
2020-04-06,52,31,532,39,437,1046,485,218,119,171,525,66,76,123,36,223,29,466,1476,246,18,42,505,417,32,4866,19,12295
2020-04-07,52,34,636,51,462,1189,503,236,133,229,559,80,78,154,41,352,34,511,1703,254,23,49,559,457,36,5682,19,14116
2020-04-08,60,37,804,107,515,1394,509,282,159,272,614,85,90,167,55,401,41,550,1953,262,26,52,585,501,39,6708,23,16291
2020-04-09,64,37,899,128,568,1445,527,309,179,293,655,89,108,171,79,555,43,621,2231,262,28,63,640,693,40,7480,23,18230
2020-04-10,72,45,981,184,616,1558,556,358,191,344,698,97,112,219,85,684,44,655,2479,263,32,75,644,717,42,8216,23,19990
2020-04-11,74,48,1050,211,640,1668,592,392,209,398,750,100,121,239,101,816,47,688,2622,289,34,79,657,732,44,8419,25,21045
