Date,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,TOTAL
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4
2020-03-06,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,7
2020-03-07,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9
2020-03-08,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0,9
2020-03-11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,11,0,19
2020-03-12,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,6,3,1,0,0,2,2,0,16,0,36
2020-03-13,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,17
2020-03-14,0,0,0,0,0,0,6,0,1,0,2,2,0,0,0,5,0,0,6,0,0,0,2,2,1,19,0,46
2020-03-15,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,71,0,90
2020-03-16,0,0,0,0,1,9,5,0,5,0,2,2,0,0,0,0,0,0,7,0,0,0,4,1,4,87,0,127
2020-03-17,3,0,0,0,4,1,3,0,1,0,8,2,0,0,0,10,0,6,2,0,0,0,2,0,0,12,0,54
2020-03-18,0,0,0,0,13,9,12,8,2,0,5,1,0,1,1,1,0,3,38,0,0,0,11,7,1,77,1,191
2020-03-19,1,3,1,0,4,1,8,13,3,0,10,2,0,0,0,9,3,9,3,0,0,0,12,7,0,45,0,134
2020-03-20,3,2,4,1,3,48,45,3,3,1,9,3,1,1,0,2,1,13,43,5,1,0,12,18,1,110,0,333
2020-03-21,4,1,4,0,7,16,21,10,2,1,16,4,1,0,0,3,0,7,10,3,2,2,26,18,3,63,1,225
2020-03-22,0,0,15,0,14,41,9,0,1,0,29,5,0,2,0,4,2,10,67,4,0,0,8,11,0,172,3,397
2020-03-23,6,1,6,0,8,39,21,7,2,6,45,0,5,1,1,5,0,6,47,0,0,0,19,18,0,114,2,359
2020-03-24,4,2,15,0,16,21,23,7,6,0,2,3,1,0,1,0,2,10,72,1,2,6,16,23,5,65,0,303
2020-03-25,2,1,7,1,12,26,34,0,6,0,3,0,2,2,2,4,1,27,65,0,0,0,50,13,1,52,0,311
2020-03-26,1,0,13,0,17,26,6,8,4,2,20,1,2,6,1,2,0,9,51,5,1,2,28,27,0,191,1,424
2020-03-27,2,1,14,1,15,45,40,6,10,3,36,3,0,3,4,9,1,19,72,9,0,2,7,14,0,170,1,487
2020-03-28,0,2,30,1,4,40,19,7,7,2,16,3,2,2,4,11,1,12,65,40,0,4,3,21,0,183,0,479
2020-03-29,9,3,29,4,29,37,38,11,2,6,26,5,3,2,0,5,3,15,42,0,0,0,30,13,0,45,1,358
2020-03-30,8,0,11,0,20,23,14,13,3,9,30,8,7,6,3,5,7,8,57,9,2,0,24,22,2,66,1,358
2020-03-31,1,1,24,2,41,19,21,12,4,21,14,4,7,8,1,9,0,25,51,5,1,0,51,16,1,822,1,1162
2020-04-01,1,0,25,1,29,44,37,23,8,19,39,3,3,7,3,8,1,44,124,10,0,10,11,12,3,642,0,1107
2020-04-02,2,0,29,1,21,120,30,19,0,10,56,2,13,8,8,11,0,29,160,14,1,4,70,34,2,525,0,1169
2020-04-03,1,5,31,7,23,93,19,14,15,7,27,7,3,26,3,30,3,49,82,70,0,7,24,20,3,542,1,1112
2020-04-04,0,0,51,10,46,87,37,13,15,8,33,2,16,7,2,40,2,94,172,36,1,5,8,55,5,418,3,1166
2020-04-05,2,5,106,3,65,218,12,28,12,37,68,3,0,4,1,25,0,44,148,34,3,0,50,23,0,154,1,1046
2020-04-06,2,3,115,7,36,83,17,15,4,39,27,1,16,37,1,22,2,21,67,0,4,0,33,38,0,246,2,838
2020-04-07,0,3,104,12,25,143,18,18,14,58,34,14,2,31,5,129,5,45,227,8,5,7,54,40,4,816,0,1821
2020-04-08,8,3,168,56,53,205,6,46,26,43,55,5,12,13,14,49,7,39,250,8,3,3,26,44,3,1026,4,2175
2020-04-09,4,0,95,21,53,51,18,27,20,21,41,4,18,4,24,154,2,71,278,0,2,11,55,192,1,772,0,1939
2020-04-10,8,8,82,56,48,113,29,49,12,51,43,8,4,48,6,129,1,34,248,1,4,12,4,24,2,736,0,1760
2020-04-11,2,3,69,27,24,110,36,34,18,54,52,3,9,20,16,132,3,33,143,26,2,4,13,15,2,203,2,1055
2020-04-12,5,0,156,44,34,79,26,47,20,47,56,1,2,22,10,144,7,62,248,50,8,4,11,44,0,336,1,1464
2020-04-13,13,10,69,7,49,189,23,33,4,33,9,12,11,51,25,194,7,18,376,37,0,30,21,50,1,140,0,1412
2020-04-14,9,14,209,64,53,136,10,94,51,152,69,2,4,74,16,130,17,35,179,23,27,1,35,27,1,476,1,1909
2020-04-15,2,11,70,32,108,220,37,177,20,65,19,6,13,103,13,200,16,13,333,1,4,28,42,31,2,1672,2,3240
