Date,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Repatriated travellers,Saskatchewan,Yukon
31-01-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
01-02-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
02-02-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
03-02-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
04-02-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
05-02-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
06-02-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
07-02-2020,0,1,0,0,0,0,0,0,3,0,0,0,0,0
08-02-2020,0,4,0,0,0,0,0,0,3,0,0,0,0,0
09-02-2020,0,4,0,0,0,0,0,0,3,0,0,0,0,0
10-02-2020,0,4,0,0,0,0,0,0,3,0,0,0,0,0
11-02-2020,0,4,0,0,0,0,0,0,3,0,0,0,0,0
12-02-2020,0,4,0,0,0,0,0,0,3,0,0,0,0,0
13-02-2020,0,4,0,0,0,0,0,0,3,0,0,0,0,0
14-02-2020,0,4,0,0,0,0,0,0,3,0,0,0,0,0
15-02-2020,0,4,0,0,0,0,0,0,3,0,0,0,0,0
16-02-2020,0,5,0,0,0,0,0,0,3,0,0,0,0,0
17-02-2020,0,5,0,0,0,0,0,0,3,0,0,0,0,0
18-02-2020,0,5,0,0,0,0,0,0,3,0,0,0,0,0
19-02-2020,0,5,0,0,0,0,0,0,3,0,0,0,0,0
20-02-2020,0,5,0,0,0,0,0,0,3,0,0,0,0,0
21-02-2020,0,6,0,0,0,0,0,0,3,0,0,0,0,0
22-02-2020,0,6,0,0,0,0,0,0,3,0,0,0,0,0
23-02-2020,0,6,0,0,0,0,0,0,3,0,0,0,0,0
24-02-2020,0,6,0,0,0,0,0,0,4,0,0,0,0,0
25-02-2020,0,7,0,0,0,0,0,0,4,0,0,0,0,0
26-02-2020,0,7,0,0,0,0,0,0,5,0,0,0,0,0
27-02-2020,0,7,0,0,0,0,0,0,6,0,0,0,0,0
28-02-2020,0,7,0,0,0,0,0,0,6,0,0,0,0,0
29-02-2020,0,7,0,0,0,0,0,0,8,0,0,0,0,0
01-03-2020,0,8,0,0,0,0,0,0,15,0,1,0,0,0
02-03-2020,0,8,0,0,0,0,0,0,15,0,1,0,0,0
03-03-2020,0,12,0,0,0,0,0,0,20,0,1,0,0,0
04-03-2020,0,12,0,0,0,0,0,0,20,0,1,0,0,0
05-03-2020,0,21,0,0,0,0,0,0,22,0,2,0,0,0
06-03-2020,0,21,0,0,0,0,0,0,28,0,2,0,0,0
07-03-2020,0,27,0,0,0,0,0,0,28,0,2,0,0,0
08-03-2020,1,27,0,0,0,0,0,0,31,0,3,0,0,0
09-03-2020,7,32,0,0,0,0,0,0,34,0,4,0,0,0
10-03-2020,7,32,0,0,0,0,0,0,34,0,4,0,0,0
11-03-2020,7,32,0,0,0,0,0,0,42,0,7,1,0,0
12-03-2020,12,39,1,1,0,0,0,0,59,0,13,1,1,0
13-03-2020,16,46,3,1,0,0,0,0,79,0,17,2,1,0
14-03-2020,22,57,4,2,0,0,0,0,79,0,17,2,2,0
15-03-2020,32,66,4,2,1,0,0,0,103,1,24,4,2,0
16-03-2020,49,66,7,6,1,0,3,0,145,1,39,4,6,0
17-03-2020,67,96,7,7,1,0,5,0,177,1,50,8,7,0
18-03-2020,90,179,15,8,3,0,7,0,189,1,74,9,8,0
19-03-2020,139,264,17,11,3,0,14,0,258,2,121,10,20,0
20-03-2020,188,264,17,11,4,0,15,0,311,2,139,13,26,0
21-03-2020,219,417,19,17,6,1,21,0,377,2,221,13,44,0
22-03-2020,252,417,19,17,9,1,28,0,425,3,221,13,52,0
23-03-2020,294,465,20,17,24,1,41,0,503,3,628,13,66,0
24-03-2020,351,610,21,18,35,1,51,0,588,3,1013,13,72,0
25-03-2020,412,652,35,26,67,1,68,0,688,5,1339,13,86,0
26-03-2020,479,718,36,33,82,1,73,0,858,9,1629,13,95,0
27-03-2020,535,718,39,45,102,1,90,0,993,11,2021,13,104,0
28-03-2020,535,877,64,51,120,1,110,0,993,11,2498,13,134,0
29-03-2020,614,877,72,66,135,1,122,0,1355,11,2840,13,134,0
30-03-2020,683,953,96,68,148,1,127,0,1706,18,3430,13,175,1
31-03-2020,747,963,103,70,152,1,147,0,1966,21,4162,13,184,1
01-04-2020,747,1059,127,81,175,2,173,0,2392,21,4611,13,193,1
02-04-2020,961,1114,167,91,183,2,193,0,2793,22,5518,13,206,2
03-04-2020,1068,1167,182,95,183,4,207,0,3255,22,6101,13,220,2
04-04-2020,1068,1196,194,98,195,4,236,0,3630,22,6997,13,231,2
05-04-2020,1243,1196,203,101,217,4,262,0,4038,22,7944,13,249,2
06-04-2020,1341,1259,204,103,226,5,293,0,4347,22,8580,13,253,3
07-04-2020,1366,1284,217,105,228,5,310,0,4726,22,9340,13,260,3
08-04-2020,1416,1329,221,108,232,5,342,0,5276,24,10031,13,271,3
