Date,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2020/01/28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/31,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/01,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/02,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/03,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/04,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/05,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/06,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/07,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/08,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/09,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/10,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/11,1,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/12,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020/02/13,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020/02/14,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020/02/15,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020/02/16,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020/02/17,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020/02/18,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020/02/19,1,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2020/02/20,2,16,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2020/02/21,2,16,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2020/02/22,2,16,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2020/02/23,2,16,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2020/02/24,3,16,0,0,0,0,0,0,1,3,0,0,0,0,1,0
2020/02/25,6,16,0,0,0,0,0,0,1,3,0,0,0,0,1,0
2020/02/26,10,16,0,0,0,0,0,0,1,6,0,0,0,0,1,0
2020/02/27,13,17,0,0,0,0,0,0,1,25,0,0,0,0,1,0
2020/02/28,19,19,0,0,0,1,1,0,1,60,1,0,0,0,2,0
2020/02/29,21,21,0,0,0,2,1,0,1,75,2,0,0,0,3,0
2020/03/01,22,25,0,1,1,4,5,0,2,98,2,0,0,0,3,0
2020/03/02,32,31,0,1,2,4,9,0,4,113,2,0,1,0,5,0
2020/03/03,56,37,6,1,4,7,13,2,10,143,3,0,1,0,6,1
2020/03/04,93,47,9,1,4,10,15,4,14,233,7,0,1,0,6,1
2020/03/05,129,66,19,3,4,15,21,5,20,330,8,0,1,0,7,1
2020/03/06,180,116,24,3,4,18,22,5,27,393,10,0,3,0,9,1
2020/03/07,211,135,25,3,4,22,26,5,35,460,12,0,5,0,9,2
2020/03/08,230,155,36,7,4,27,26,7,39,486,15,1,10,0,10,2
