Date,Males,Females,Unknown_Gender,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,Unknown_Age,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2020/01/28,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/29,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/31,2,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/03,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/04,4,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/06,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/07,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/11,2,1,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/12,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/20,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/24,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020/02/25,2,1,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/26,5,2,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2020/02/27,11,12,0,0,1,10,10,2,0,0,3,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2020/02/28,23,24,0,4,1,22,14,6,0,0,6,2,0,0,0,1,1,0,0,35,1,0,0,0,1,0
2020/02/29,15,7,0,0,1,8,12,1,0,0,2,2,0,0,0,1,0,0,0,15,1,0,0,0,1,0
2020/03/01,17,20,0,0,0,18,14,5,0,0,1,4,0,1,1,2,4,0,1,23,0,0,0,0,0,0
2020/03/02,27,14,0,0,0,15,17,8,1,0,10,6,0,0,1,0,4,0,2,15,0,0,1,0,2,0
2020/03/03,55,31,0,0,7,24,39,16,0,0,24,6,6,0,2,3,4,2,6,30,1,0,0,0,1,1
2020/03/04,79,76,0,1,3,56,78,13,4,0,37,10,3,0,0,3,2,2,4,90,4,0,0,0,0,0
2020/03/05,94,90,0,4,4,65,92,17,2,0,36,19,10,2,0,5,6,1,6,97,1,0,0,0,1,0
2020/03/06,103,83,0,2,6,34,104,33,7,0,51,50,5,0,0,3,1,0,7,63,2,0,2,0,2,0
2020/03/07,67,72,0,0,6,36,69,26,2,0,31,19,1,0,0,4,4,0,8,67,2,0,2,0,0,1
2020/03/08,53,48,0,2,5,23,60,9,2,0,19,20,11,4,0,5,0,2,4,26,3,1,5,0,1,0
2020/03/09,182,158,0,3,12,88,191,39,7,0,52,81,22,4,7,20,20,4,14,97,6,5,5,0,3,0
2020/03/10,347,252,0,2,20,153,311,99,14,0,117,111,34,9,11,30,16,1,35,173,17,2,21,6,7,9
2020/03/11,424,326,0,6,27,189,381,137,10,0,147,116,42,8,11,29,37,8,62,200,29,10,16,15,19,1
2020/03/12,573,410,1,5,15,211,595,142,16,0,188,131,47,25,7,42,37,9,69,281,64,13,28,14,18,11
2020/03/13,813,628,0,2,36,342,821,212,28,0,314,249,59,21,9,37,78,9,89,417,58,17,36,11,27,10
2020/03/14,725,576,0,12,32,347,728,159,23,0,326,230,29,14,3,77,82,1,77,322,51,11,34,2,24,18
2020/03/15,529,447,1,6,18,248,544,128,32,1,182,166,26,21,3,80,24,1,68,241,95,18,30,0,21,1
2020/03/16,1156,888,1,8,41,520,1112,314,50,0,429,268,63,20,1,80,126,14,156,613,125,25,43,35,29,18
2020/03/17,1696,1331,1,17,73,813,1606,427,91,1,599,461,93,65,12,132,168,31,176,910,168,21,86,29,46,31
2020/03/18,2091,1503,3,29,59,973,1892,551,92,1,801,740,146,47,10,134,224,43,277,717,158,41,131,38,53,37
2020/03/19,2247,1826,4,27,60,1106,2097,664,122,1,654,819,180,55,40,191,203,34,271,1138,135,45,155,43,60,54
