Date,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2020/01/28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/04,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/02/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/02/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020/02/25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/26,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2020/02/27,3,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2020/02/28,6,2,0,0,0,1,1,0,0,35,1,0,0,0,1,0
2020/02/29,2,2,0,0,0,1,0,0,0,15,1,0,0,0,1,0
2020/03/01,1,4,0,1,1,2,4,0,1,23,0,0,0,0,0,0
2020/03/02,10,6,0,0,1,0,4,0,2,15,0,0,1,0,2,0
2020/03/03,24,6,6,0,2,3,4,2,6,30,1,0,0,0,1,1
2020/03/04,37,10,3,0,0,3,2,2,4,90,4,0,0,0,0,0
2020/03/05,36,19,10,2,0,5,6,1,6,97,1,0,0,0,1,0
2020/03/06,51,50,5,0,0,3,1,0,7,63,2,0,2,0,2,0
2020/03/07,31,19,1,0,0,4,4,0,8,67,2,0,2,0,0,1
2020/03/08,19,20,11,4,0,5,0,2,4,26,3,1,5,0,1,0
2020/03/09,52,81,22,4,7,20,20,4,14,97,6,5,5,0,3,0
2020/03/10,117,111,34,9,11,30,16,1,35,173,17,2,21,6,7,9
2020/03/11,147,116,42,8,11,29,37,8,62,200,29,10,16,15,19,1
2020/03/12,188,131,47,25,7,42,37,9,69,281,64,13,28,14,18,11
2020/03/13,314,248,59,21,9,37,78,9,89,417,58,17,36,11,27,10
2020/03/14,326,230,29,14,3,77,82,1,77,322,51,11,34,2,24,18
2020/03/15,182,166,26,21,3,80,24,1,68,241,95,18,30,0,21,1
2020/03/16,429,268,63,20,1,80,126,14,156,613,125,25,43,35,29,18
2020/03/17,599,461,93,65,12,132,168,31,176,910,168,21,86,29,46,31
2020/03/18,801,740,146,47,10,134,224,43,277,717,158,41,131,38,53,37
2020/03/19,654,819,180,55,40,191,203,34,271,1138,135,45,155,43,60,54
2020/03/20,846,858,170,64,24,145,212,16,267,876,181,37,143,51,78,76
2020/03/21,564,1106,128,24,22,108,135,11,180,691,115,38,129,18,45,38
2020/03/22,548,558,68,22,4,149,59,1,109,436,142,47,52,14,34,27
2020/03/23,644,720,159,53,12,133,277,13,243,881,196,57,123,66,94,51
2020/03/24,1183,1218,200,55,19,205,235,37,295,797,205,32,160,62,100,72
2020/03/25,1186,1681,245,96,11,164,247,24,378,1039,171,49,180,51,87,79
2020/03/26,1216,1704,286,74,31,170,301,24,374,1049,216,72,169,58,96,75
2020/03/27,1250,1641,205,79,20,139,308,42,410,1102,271,63,187,78,117,73
2020/03/28,1007,1421,197,44,25,146,187,21,349,752,165,69,163,42,82,68
2020/03/29,661,862,87,27,1,116,140,11,177,635,142,77,71,19,43,20
2020/03/30,932,1037,167,95,8,70,185,13,313,772,143,70,138,72,78,35
2020/03/31,1227,1844,214,129,17,160,254,50,361,1058,200,130,180,55,104,79
2020/04/01,1243,1987,187,73,16,138,330,23,368,1161,252,123,185,36,103,58
2020/04/02,1416,1938,236,126,11,168,267,29,334,1209,189,178,223,46,112,85
2020/04/03,1266,1861,239,138,33,157,249,31,390,1057,214,71,249,44,112,70
2020/04/04,850,1494,107,41,15,112,225,15,225,684,140,142,139,34,69,50
2020/04/05,497,715,77,25,3,107,91,2,145,507,106,89,68,39,36,40
2020/04/06,562,1127,144,73,5,99,139,5,229,876,140,80,80,26,61,27
2020/04/07,903,1534,202,107,36,214,255,35,374,913,180,78,143,45,112,74
2020/04/08,934,1548,177,118,6,116,303,8,333,1045,173,152,160,48,90,65
2020/04/09,996,1265,173,115,18,114,293,15,313,1007,156,135,101,39,93,70
2020/04/10,663,938,82,74,9,98,155,11,261,614,131,91,130,25,34,27
2020/04/11,747,765,86,49,13,78,151,13,128,586,77,21,80,29,41,27
2020/04/12,429,417,53,44,4,45,99,3,150,384,65,23,88,13,16,32
2020/04/13,291,465,59,12,6,42,77,4,79,292,73,30,40,11,98,20
2020/04/14,370,755,74,53,7,76,161,3,168,518,100,27,72,25,17,44
2020/04/15,620,963,113,66,15,83,227,11,226,662,119,51,57,21,42,42
2020/04/16,660,861,94,61,45,73,208,9,242,741,116,49,102,25,51,81
2020/04/17,555,779,120,109,12,108,190,4,197,635,129,31,44,61,38,36
2020/04/18,392,516,81,61,17,40,128,6,143,466,87,27,46,23,26,47
2020/04/19,297,386,32,28,12,22,73,0,97,339,26,2,23,15,9,16
2020/04/20,275,375,45,57,7,33,79,2,131,557,35,17,33,13,28,38
2020/04/21,397,505,76,67,17,58,168,2,163,453,61,37,49,29,38,75
2020/04/22,503,598,81,49,108,48,177,4,162,474,85,44,51,16,35,56
2020/04/23,421,569,86,43,17,50,125,0,140,387,55,20,34,29,40,66
2020/04/24,366,531,73,84,17,42,101,6,119,331,62,22,45,23,38,46
2020/04/25,316,306,54,24,15,44,89,7,67,224,30,14,22,19,17,25
2020/04/26,131,188,21,7,14,18,24,0,51,152,30,17,20,5,6,21
2020/04/27,170,343,55,38,7,22,68,1,76,223,42,5,21,6,13,28
2020/04/28,186,362,79,67,43,26,138,13,100,262,31,18,33,13,21,77
2020/04/29,278,298,68,37,42,42,122,4,85,250,61,25,39,16,18,43
2020/04/30,254,288,56,35,22,25,104,4,84,386,46,21,33,12,19,61
2020/05/01,152,222,25,33,12,8,78,4,39,231,39,13,22,11,13,14
2020/05/02,112,136,31,16,4,13,40,2,36,148,19,6,22,5,11,21
2020/05/03,49,90,32,6,17,3,26,0,15,121,0,4,10,4,49,1
2020/05/04,78,165,52,19,17,9,28,4,93,170,28,5,6,5,14,30
2020/05/05,124,213,53,44,10,21,90,7,79,239,32,6,61,19,49,39
2020/05/06,127,263,58,26,54,21,104,3,91,316,30,10,35,10,16,44
2020/05/07,182,233,58,12,29,17,83,6,86,314,37,10,34,12,34,48
2020/05/08,205,210,4,17,28,12,87,0,78,217,24,5,45,8,22,26
2020/05/09,128,122,17,5,15,10,47,4,30,191,28,4,24,4,19,31
2020/05/10,52,78,8,2,12,3,15,3,10,104,15,0,8,2,20,8
