,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telangana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Daily Cases,Total Cases,Daily Deaths,Total Deaths
30-Jan-20,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,
2-Feb-20,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2,,
3-Feb-20,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,3,,
2-Mar-20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2,5,,
3-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,6,,
4-Mar-20,,,,,,,,1,,,14,,,,,,,,,,,,,,,,1,,,,,6,,22,28,,
5-Mar-20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2,30,,
6-Mar-20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,,
7-Mar-20,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,3,34,,
8-Mar-20,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,39,,
9-Mar-20,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,5,44,,
10-Mar-20,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,6,50,,
11-Mar-20,,,,,,,,1,,,,,,,,8,,,,,,,,,,,1,,,,,,,10,60,,
12-Mar-20,,1,,,,,,2,,,,,,,0(1),,1,,6,,,,,,,,1,,,,,2,,13,73,1,1
13-Mar-20,,,,,,,,,,,,,,,2,2,,,3,,,,,,,,,,,,,1,,8,81,,1
14-Mar-20,,,,,,,,1(1),,,,,1,,,,,,12,,,,,,,,1,,,,,1,,16,97,1,2
15-Mar-20,,,,,,,,,,,,,,,,3,,,5,,,,,,,,,,2,,,,,10,107,,2
16-Mar-20,,,,,,,,,,,,,1,,1,1,1,,6,,,,,1,,,,,,,,,,11,118,,2
17-Mar-20,,,,,,,,1,,,1,,,,3,3,4,,3(1),,,,,,,,,,2,,,2,,19,137,1,3
18-Mar-20,,,,,,,,2,,,2,,,,1,1,,,3,,,,,,1,,1,,,,,2,1,14,151,,3
19-Mar-20,,,,,,1,1,2,,,,,1,,3,,,,3,,,,,,,1(1),3,1,1,,1,4,,22,173,1,4
20-Mar-20,,2,,,,,,5,,5,,,,,1,1,2,,5,,,,,1,,1,10,1,11,,,4,1,50,223,,4
21-Mar-20,,,,,,,,8,,2,,2,,,,12,3,4,11,,,,,,,11,,,4,,2,,1,60,283,,4
22-Mar-20,,2,,,2(1),4,,3,,11(1),4,,,,11,12,,,8(1),,,,,,,7,5,3,1,,,3,1,77,360,3,7
23-Mar-20,,2,,,,1,,,,11,5,1(1),,,4,15,,2,7,,,,,,,2,4,3,10,,,4,3(1),74,434,2,9
24-Mar-20,,1,,,1,1,,,,4,2,,,,7,28,,1,15,1,,,,,,6,4,6,3,,1,2,2,85,519,,9
25-Mar-20,,1,,,,,1,1,,5,,,3,,4,14,,7(1),35(1),,,1,,,,4,4,3(1),,,,4,,87,606,3,12
26-Mar-20,1,2,,,3,,4,5,3,5(2),2,,6(1),,14(1),9,,6,,,,,,,,,5,8,9,,1,4,1,88,694,4,16
27-Mar-20,1,3,,,3,,,3,,2,3,,5,,,43,,10(1),29(1),,,,,1,,5,7,12,4,,,4,5,140,834,2,18
28-Mar-20,4,,,,,1,,,,,,,2,,9,15(1),,,27(1),,,,,,,,6,2,8,,,10,,84,918,2,20
29-Mar-20,3,5,,,2,,1,10(1),2,13(2),,,11(1),,12(1),6,,,6(1),,,,,,,,1,9,10(1),,2,10,3,106,1024,7,27
30-Mar-20,,4,,,4,,,48,,11(1),3,,17,,7,37,,17(1),21(2),,,,,,,,4,18,5,,,27,4(1),227,1251,5,32
31-Mar-20,1,17,,,,5,1,,,4,4,,6,,,15,,,47(1),,,,,,,3(2),15,7,8,,,9,4,146,1397,3,35
1-Apr-20,,43,,1,8,3,1,55,,9,3,,8,1,18,7(1),,19,48,,,,,1,2,1,19,160,17(2),,,2(2),11(1),437,1834,6,41
2-Apr-20,,3(1),,4,1,,,67(2),,5(1),,,,,9,24,,33(3),33(4),,,,,,,4(1),15,,11,,,10,16,235,2069,12,53
3-Apr-20,,46,1,11,5,2,,77,1,8(1),6,3,13,1,14,21,1,5,0(3),1,,,,1,2,2(1),59,75,51(4),,3,59,10,478,2547,9,62
4-Apr-20,,29,,8,1,,,149(2),1,10(2),,,,,4,9,,,155(8),,,,,,,9,33,102(1),1,,6,2,6,525,3072,13,75
5-Apr-20,,29,,2,,,,58(1),,17(1),10(1),,31,1,16(1),11,,61(3),,,,,,15,,,,74(1),110,,6,53,11,505,3577,8,83
6-Apr-20,,36(2),,,2,,1,20,,22(1),25,7,3,1,7,8,,,258(21),,,,,1,,19(1),74,86(2),52,,4,78(1),,704,4281,28,111
7-Apr-20,,40,,,,,,53,,21(1),6,,7,,24,13,,64(4),120(3),,,,,21(1),,15(1),14(3),50,43,1,5,,11,508,4789,13,124
8-Apr-20,,39(1),,1,6,,,0(2),,,57(2),5,,,,9,,,150(16),,,,,,,,40,69(2),63,,,38,8(2),485,5274,25,149
9-Apr-20,1,43,,1,1,,,93,,14(3),22,,42(2),9,6(1),9,,30(3),117(8),,,,,,,10(1),55,48(1),15,,4,67(1),4,591,5865,20,169
10-Apr-20,,15(2),,1,21,,,229(4),,62(1),,10,26,0(1),16(1),12,1,,229(25),,,,,2,,31(3),80,96,31,,,21,13,896,6761,37,206
11-Apr-20,,18,,0(1),,,8,5(1),,67(2),8,,23,4,17,7,,184(17),210(13),,,,,4,2,,90,77,31(2),1,,2,10,768,7529,36,242
