Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,State Unassigned,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-04-21,17,757,1,35,126,27,36,0,0,2156,7,2178,255,39,380,46,418,426,18,0,1552,5218,2,12,1,0,79,7,251,1735,0,0,1596,928,2,1337,46,392
2020-04-22,18,813,1,35,141,27,36,0,0,2248,7,2407,264,39,407,46,427,437,18,0,1587,5649,2,12,1,0,83,7,278,1888,0,0,1629,943,2,1449,46,423
2020-04-23,22,893,1,36,170,27,36,0,0,2376,7,2624,270,40,434,53,445,447,18,0,1687,6427,2,12,1,0,89,7,283,1964,0,0,1683,970,2,1510,47,456
2020-04-24,29,955,1,36,223,27,36,0,0,2514,7,2815,275,40,454,59,474,450,18,0,1846,6817,2,12,1,0,94,7,298,2034,0,0,1755,983,2,1620,49,514
2020-04-25,33,1016,1,36,251,28,37,0,0,2625,7,3071,287,40,494,67,500,458,20,0,1945,7628,2,12,1,0,100,8,308,2083,0,0,1821,990,2,1793,48,571
2020-04-26,33,1097,1,36,277,36,37,0,0,2918,7,3301,296,40,523,82,503,469,20,0,2090,8068,2,12,1,0,103,8,322,2185,0,0,1885,1001,2,1873,51,611
2020-04-27,33,1177,1,36,346,45,37,0,0,3108,7,3548,301,40,546,103,512,482,20,0,2165,8590,2,12,1,0,111,8,330,2262,0,0,1937,1003,2,1986,51,649
2020-04-28,33,1259,1,38,366,56,38,0,0,3314,7,3774,308,40,565,106,523,486,22,0,2387,9318,2,12,1,0,118,8,342,2364,0,0,2058,1009,2,2053,54,697
2020-04-29,33,1332,1,38,403,68,38,0,0,3439,7,4082,311,40,581,107,534,496,22,0,2560,9915,2,12,1,0,125,8,375,2438,0,0,2162,1016,2,2134,54,725
2020-04-30,33,1403,1,42,425,74,40,0,0,3515,7,4395,339,40,614,110,565,498,22,0,2625,10498,2,12,1,0,142,8,480,2582,0,0,2323,1038,2,2211,57,758
2020-05-01,33,1463,1,43,466,88,43,0,0,3738,7,4721,357,40,639,113,589,498,22,0,2715,11506,2,12,1,0,149,8,585,2666,0,0,2526,1044,2,2328,57,795
2020-05-02,33,1525,1,43,481,94,43,0,0,4122,7,5054,376,40,666,115,601,500,23,0,2788,12296,2,12,1,0,157,12,772,2772,0,0,2757,1061,4,2487,59,795
2020-05-03,33,1583,1,43,517,97,57,0,0,4549,7,5428,442,40,701,115,614,500,42,0,2837,12974,2,12,1,0,162,12,1102,2886,0,0,3023,1082,16,2645,60,922
2020-05-04,33,1650,1,43,528,102,58,0,0,4898,7,5804,517,41,726,115,651,500,42,0,2942,14541,2,12,1,0,169,12,1232,3061,0,0,3550,1085,29,2766,60,1259
2020-05-05,33,1717,1,45,535,115,59,1,0,5104,7,6245,548,42,741,125,673,503,42,0,3049,15525,2,12,1,0,176,9,1451,3158,0,0,4058,1096,42,2880,61,1344
2020-05-06,33,1777,1,46,542,124,59,0,1,5532,7,6625,594,43,775,127,693,503,42,0,3138,16758,2,12,1,0,185,9,1526,3317,0,0,4829,1107,64,2998,61,1456
2020-05-07,33,1833,1,54,550,135,59,0,1,5980,7,7013,625,46,793,132,705,503,42,0,3252,17974,2,12,1,0,219,9,1644,3427,0,0,5409,1122,88,3071,61,1548
2020-05-08,33,1887,1,59,579,146,59,0,1,6318,7,7403,647,50,823,132,753,504,42,0,3341,19063,2,12,1,0,270,15,1731,3579,0,0,6009,1132,88,3214,63,1678
2020-05-09,33,1930,1,63,611,169,59,0,1,6542,7,7797,675,52,836,156,794,506,42,0,3457,20228,2,13,1,0,294,10,1762,3708,0,0,6535,1163,135,3373,67,1786
2020-05-10,33,1980,1,62,696,173,59,0,1,6923,7,8195,703,55,861,157,848,513,42,0,3614,22171,2,13,1,0,377,12,1823,3814,0,0,7204,1196,151,3467,68,1939
2020-05-11,33,2018,1,65,749,181,59,0,1,7233,7,8542,730,59,879,161,862,520,42,0,3785,23401,2,13,1,0,414,12,1877,3988,0,0,8002,1275,152,3573,68,2063
2020-05-12,33,2051,1,65,830,187,59,0,1,7639,7,8904,780,66,934,172,925,525,42,0,3986,24427,2,13,1,0,437,12,1914,4126,0,0,8718,1326,154,3664,69,2173
2020-05-13,33,2137,1,80,953,191,59,0,1,7998,7,9268,793,67,971,177,959,535,43,0,4173,25922,2,13,1,0,538,13,1924,4328,0,0,9227,1367,154,3758,72,2290
2020-05-14,33,2205,1,87,999,191,59,0,1,8470,15,9592,818,74,983,197,987,561,43,0,4426,27524,3,13,1,0,624,13,1935,4534,0,0,9674,1414,155,3902,78,2377
2020-05-15,33,2307,1,90,1033,191,60,0,1,8895,15,9932,854,75,1013,211,1056,577,43,0,4595,29100,3,13,1,0,672,16,1932,4747,0,0,10108,1454,156,4057,82,2461
2020-05-16,33,2355,1,92,1178,191,67,0,1,9333,20,10989,887,78,1121,217,1092,588,43,0,4790,30706,7,13,1,0,737,16,1946,4960,0,0,10585,1509,167,4258,91,2576
2020-05-17,33,2380,1,101,1284,191,85,0,1,9755,29,11380,910,80,1183,223,1147,602,43,0,4977,33053,7,13,1,0,828,16,1964,5202,0,0,11224,1551,167,4464,92,2677
2020-05-18,33,2432,1,116,1423,196,93,0,1,10054,38,11746,928,90,1289,228,1246,631,43,0,5236,35058,7,13,1,0,876,17,1980,5507,0,0,11760,1592,165,4605,96,2825
2020-05-19,33,2489,1,158,1519,199,95,0,1,10554,46,12141,964,90,1317,248,1395,643,43,0,5465,37136,7,13,1,0,978,22,2002,5845,0,814,12448,1634,169,4926,111,2961
2020-05-20,33,2560,1,186,1607,202,110,0,1,11088,50,12539,993,110,1390,281,1462,667,44,0,5735,39297,25,14,1,0,1052,23,2005,6015,0,1096,13191,1661,173,5175,122,3103
2020-05-21,33,2605,1,211,1987,216,128,0,1,11659,52,12910,1031,152,1449,303,1605,691,44,0,5981,41642,25,14,1,0,1103,23,2028,6227,0,1096,13967,1699,173,5515,146,3197
2020-05-22,33,2667,1,258,2105,219,132,0,1,12319,54,13273,1068,168,1489,323,1743,733,44,0,6170,44582,26,14,1,0,1189,23,2029,6489,0,1620,14753,1761,175,5515,153,3332
2020-05-23,33,2714,1,347,2394,225,214,0,2,12910,55,13669,1131,185,1569,350,1959,795,49,0,6371,47190,27,14,1,0,1269,26,2045,6742,1,1899,15512,1813,191,6017,244,3459
2020-05-24,33,2780,2,393,2574,262,252,0,2,13418,66,14063,1184,203,1621,370,2089,848,52,0,6665,50231,32,14,1,0,1336,41,2060,7028,1,2338,16277,1854,194,6268,317,3667
2020-05-25,33,2886,2,540,2737,266,292,0,2,14053,67,14468,1213,223,1668,405,2182,897,53,0,6859,52667,36,15,1,3,1438,49,2081,7300,1,2642,17082,1920,198,6497,349,3816
2020-05-26,33,2983,2,667,2968,278,360,0,2,14465,67,14829,1305,247,1759,416,2283,964,53,0,7024,54758,39,15,1,4,1517,49,2106,7536,1,2970,17728,1991,209,6724,400,4009
2020-05-27,33,3117,2,784,3036,278,364,0,2,15257,68,15205,1381,273,1921,458,2418,1004,54,0,7261,56948,44,20,1,9,1593,49,2139,7816,1,4013,18545,2098,242,6991,469,4192
2020-05-28,33,3245,2,857,3185,289,398,0,2,16281,69,15572,1504,281,2036,470,2533,1088,74,0,7453,59546,55,21,1,18,1660,53,2158,8067,1,4332,19372,2256,244,7170,500,4536
2020-05-29,33,3330,3,1025,3359,289,415,0,2,17386,69,15944,1721,295,2164,521,2781,1151,74,0,7645,62228,59,27,1,25,1723,53,2197,8365,1,4673,20246,2425,254,7445,716,4813
2020-05-30,33,3461,3,1186,3565,289,447,0,2,18549,70,16356,1923,313,2341,563,2922,1209,77,0,7891,65168,60,27,1,36,1819,57,2233,8617,1,4673,21184,2499,271,7701,749,5130
2020-05-31,33,3571,4,1273,3807,293,492,0,2,19844,71,16794,2091,330,2446,610,3221,1270,77,0,8089,67655,71,27,1,43,1948,57,2263,8831,1,5121,22333,2698,316,8075,907,5501
2020-06-01,33,3676,20,1464,3945,297,548,0,3,20834,73,17217,2356,340,2601,635,3408,1327,77,0,8283,70013,83,28,1,43,2104,79,2301,9100,1,5630,23495,2792,418,8361,959,5772
2020-06-02,33,3791,28,1514,4096,301,556,0,3,22132,79,17632,2652,345,2718,722,3796,1413,81,0,8420,72300,89,30,13,49,2245,79,2342,9373,1,6414,24586,2891,471,8729,1043,6168
2020-06-03,33,3971,37,1831,4326,301,626,0,11,23645,126,18117,2954,359,2857,764,4063,1495,90,0,8588,74860,108,33,14,58,2388,88,2376,9652,2,7123,25872,3020,520,8870,1066,6508
2020-06-04,33,4112,42,2074,4452,302,756,0,11,25004,166,18609,3281,383,3142,810,4320,1589,94,0,8762,77793,124,33,17,80,2478,90,2415,9862,2,7123,27256,3147,646,9237,1153,6876
2020-06-05,33,4250,44,2154,4598,309,863,0,14,26334,196,19119,3597,389,3324,889,4835,1700,97,0,8996,80229,132,33,22,94,2608,104,2461,10084,2,7250,28694,3290,646,9733,1215,7303
2020-06-06,33,4460,48,2474,4831,312,923,0,19,27654,267,19617,3952,398,3467,938,5213,1808,99,0,9228,82968,157,33,24,107,2781,107,2515,10337,7,7832,30172,3496,749,10103,1303,7738
2020-06-07,33,4659,50,2566,5070,315,1073,0,20,28936,300,20097,4448,411,4087,1103,5452,1915,103,0,9401,85975,172,36,34,120,2856,119,2608,10599,7,8250,31687,3650,802,10536,1355,8187
