Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,State Unassigned,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-04-21,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,80,0,0,0,0,0,1,0,0,25,0,0,0,0,0,21,0,0
2020-04-22,0,22,0,1,2,0,0,0,0,0,0,103,3,1,0,0,0,2,0,0,80,251,0,0,0,0,1,0,16,26,0,0,0,0,0,21,0,0
2020-04-23,0,27,0,1,2,0,0,0,0,0,0,112,3,1,0,0,0,2,0,0,83,269,0,0,0,0,1,0,16,26,0,0,0,0,0,24,0,0
2020-04-24,0,29,0,1,2,0,0,0,0,53,0,127,3,2,5,3,18,2,0,0,92,301,0,1,0,0,1,0,16,28,0,0,0,25,0,24,0,18
2020-04-25,0,31,0,1,2,0,0,0,0,54,0,133,3,2,5,3,18,3,0,0,99,323,0,1,0,0,1,0,16,33,0,0,0,25,0,27,0,18
2020-04-26,0,31,0,1,2,0,0,0,0,54,0,133,3,2,6,3,19,3,0,0,103,342,0,1,0,0,1,0,18,39,0,0,0,25,0,30,0,20
2020-04-27,0,31,0,1,2,0,0,0,0,54,0,162,3,2,7,3,20,4,0,0,110,369,0,1,0,0,1,0,19,48,0,0,0,25,0,31,0,20
2020-04-28,0,31,0,1,2,0,0,0,0,54,0,181,3,2,8,3,20,4,0,0,120,400,0,1,0,0,1,0,19,52,0,0,25,25,0,34,0,22
2020-04-29,0,31,0,1,2,0,0,0,0,56,0,197,3,2,8,3,21,4,0,0,130,432,0,1,0,0,1,0,19,55,0,0,27,25,0,39,0,22
2020-04-30,0,31,0,1,2,0,0,0,0,59,0,214,4,2,8,3,22,4,0,0,137,459,0,1,0,0,1,0,20,58,0,0,27,28,0,40,0,33
2020-05-01,0,33,0,1,3,0,0,0,0,61,0,236,4,2,8,3,22,4,0,0,145,485,0,1,0,0,1,0,20,62,0,0,28,28,0,42,1,33
2020-05-02,0,33,0,1,4,0,0,0,0,64,0,262,5,2,8,3,25,4,0,0,151,521,0,1,0,0,1,0,20,68,0,0,29,29,0,43,1,48
2020-05-03,0,33,0,1,4,1,0,0,0,64,0,290,5,2,8,3,25,4,0,0,156,548,0,1,0,0,1,0,21,71,0,0,30,29,0,43,1,50
2020-05-04,0,33,0,1,4,1,0,0,0,64,0,319,6,2,8,3,27,4,0,0,165,583,0,1,0,0,1,0,23,77,0,0,31,29,0,50,1,133
2020-05-05,0,34,0,1,4,1,0,0,0,64,0,368,6,3,8,3,29,4,0,0,176,617,0,1,0,0,1,0,25,89,0,0,33,29,0,56,1,140
2020-05-06,0,36,0,1,4,1,0,0,0,66,0,396,7,3,8,3,29,4,0,0,185,651,0,1,0,0,2,0,27,93,0,0,35,29,0,60,1,144
2020-05-07,0,38,0,1,5,1,0,0,0,66,0,425,7,3,9,3,30,4,0,0,193,694,0,1,0,0,2,0,28,99,0,0,37,29,0,62,1,151
2020-05-08,0,41,0,2,5,1,0,0,0,68,0,449,8,3,9,3,30,4,0,0,200,731,0,1,0,0,2,0,29,103,0,0,40,29,0,66,1,160
2020-05-09,0,44,0,2,5,2,0,0,0,68,0,472,9,3,9,3,30,4,0,0,211,779,0,1,0,0,2,0,31,106,0,0,44,30,0,74,1,171
2020-05-10,0,45,0,1,6,3,0,0,0,73,0,493,9,3,9,3,31,4,0,0,215,832,0,1,0,0,3,0,31,108,0,0,47,30,0,79,1,185
2020-05-11,0,45,0,1,6,3,0,0,0,73,0,513,11,3,10,3,31,4,0,0,221,868,0,1,0,0,3,0,31,113,0,0,53,30,0,80,1,190
2020-05-12,0,46,0,2,6,3,0,0,0,86,0,537,11,3,10,3,31,4,0,0,225,921,0,1,0,0,3,0,32,117,0,0,61,32,0,82,1,198
2020-05-13,0,47,0,2,7,3,0,0,0,106,0,566,11,3,10,3,33,4,0,0,232,975,0,1,0,0,3,0,32,121,0,0,64,34,0,86,1,207
2020-05-14,0,48,0,2,7,3,0,0,0,115,0,586,11,3,11,3,35,4,0,0,237,1019,0,1,0,0,3,0,32,125,0,0,66,34,0,88,1,215
2020-05-15,0,48,0,2,7,3,0,0,0,123,0,606,13,3,11,3,36,4,0,0,239,1068,0,1,0,0,3,0,32,125,0,0,71,34,0,95,1,225
2020-05-16,0,49,0,2,7,3,0,0,0,129,0,625,13,3,12,3,36,4,0,0,243,1135,0,1,0,0,3,0,32,126,0,0,74,34,0,104,1,232
2020-05-17,0,50,0,2,8,3,0,0,0,148,0,659,14,3,13,3,37,4,0,0,248,1198,0,1,0,0,4,0,35,131,0,0,79,34,0,112,1,238
2020-05-18,0,50,0,4,9,3,0,0,0,160,0,694,14,3,15,3,37,4,0,0,252,1249,0,1,0,0,4,0,37,138,0,0,82,34,0,118,1,244
2020-05-19,0,52,0,4,9,3,0,0,0,166,0,719,14,3,17,3,40,4,0,0,258,1325,0,1,0,0,5,0,38,143,0,0,85,38,0,123,1,250
2020-05-20,0,53,0,4,9,3,0,0,0,176,0,749,14,4,18,3,41,4,0,0,267,1390,0,1,0,0,6,0,38,147,0,0,88,38,0,127,1,253
2020-05-21,0,54,0,4,9,3,0,0,0,194,0,773,14,4,20,3,41,4,0,0,271,1454,0,1,0,0,7,0,39,151,0,0,95,45,0,138,1,259
2020-05-22,0,55,0,4,11,3,0,0,0,208,0,802,16,4,20,3,41,5,0,0,272,1517,0,1,0,0,7,0,39,153,0,0,99,48,0,138,1,265
2020-05-23,0,56,0,4,11,3,0,0,0,231,0,829,16,4,21,3,42,5,0,0,281,1577,0,1,0,0,7,0,39,160,0,0,104,49,0,155,1,269
2020-05-24,0,56,0,4,11,4,0,0,0,261,0,858,16,4,21,4,42,6,0,0,290,1635,0,1,0,0,7,0,40,163,0,0,112,53,0,161,3,272
2020-05-25,0,56,0,4,13,4,0,0,0,276,0,888,16,4,23,4,44,6,0,0,300,1695,0,1,0,0,7,0,40,165,0,0,119,56,0,169,4,278
2020-05-26,0,57,0,4,14,4,0,0,0,288,0,915,16,4,24,4,44,6,0,0,305,1792,0,1,0,0,7,0,40,170,0,0,128,57,0,177,4,283
2020-05-27,0,58,0,4,15,4,0,0,0,303,0,938,18,6,26,4,47,7,0,0,313,1897,0,1,0,0,7,0,40,172,0,0,136,63,0,182,4,289
2020-05-28,0,59,0,4,15,4,0,0,0,316,0,960,19,6,27,4,47,8,0,0,321,1982,0,1,0,0,7,0,40,180,0,0,148,67,0,197,4,295
2020-05-29,0,60,0,4,15,4,1,0,0,398,0,980,19,6,28,5,48,9,0,0,334,2098,0,1,0,0,9,0,42,184,0,0,157,71,0,201,4,302
2020-05-30,0,60,0,4,21,4,1,0,0,416,0,1007,20,6,28,5,49,10,0,0,343,2197,0,1,0,0,9,0,44,193,0,0,163,77,0,213,5,309
2020-05-31,0,62,0,4,21,4,1,0,0,473,0,1038,20,6,28,5,51,10,0,0,350,2286,0,1,0,0,9,0,45,195,0,0,176,82,0,217,5,317
2020-06-01,0,64,0,4,23,4,1,0,0,523,0,1063,21,6,31,5,52,11,0,0,358,2362,0,1,0,0,9,0,44,199,0,0,187,88,0,222,5,325
2020-06-02,0,64,0,4,24,5,1,0,0,556,0,1092,23,6,33,5,52,12,1,0,364,2465,0,1,0,0,9,0,46,203,0,0,200,92,0,229,7,335
2020-06-03,0,68,0,4,25,5,1,0,0,615,0,1122,23,6,34,5,53,12,1,0,371,2587,0,1,0,0,9,0,47,209,0,0,208,99,0,230,8,345
2020-06-04,0,71,0,4,28,5,2,0,0,659,0,1155,24,6,35,6,57,15,1,0,377,2710,0,1,0,0,9,0,47,213,0,0,223,105,0,245,10,355
2020-06-05,0,73,0,4,29,5,2,0,0,708,0,1190,24,6,36,7,57,15,1,0,384,2849,0,1,0,0,10,0,48,218,0,0,235,113,0,257,11,366
2020-06-06,0,73,0,4,29,5,4,0,0,761,0,1219,24,6,39,7,59,16,1,0,399,2969,0,1,0,0,10,0,50,231,0,0,254,123,0,268,11,383
2020-06-07,0,75,0,4,30,5,4,0,0,812,0,1249,28,6,41,7,61,16,1,0,412,3060,0,1,0,0,11,0,51,240,0,0,272,137,0,275,13,396
2020-06-08,0,75,0,4,31,5,4,0,0,874,0,1280,39,6,45,7,64,17,1,0,414,3169,0,1,0,0,11,0,53,246,0,0,289,137,0,283,13,405
2020-06-09,0,77,0,5,33,5,5,0,0,905,0,1313,45,6,48,8,66,17,1,0,420,3289,0,1,0,0,11,0,55,255,0,0,307,148,1,301,13,415
2020-06-10,0,78,0,5,34,5,5,0,0,984,0,1347,52,7,51,8,69,18,1,0,427,3438,0,1,0,0,11,0,55,259,0,0,326,156,1,321,15,432
2020-06-11,0,80,0,6,34,5,6,0,0,1085,0,1385,64,7,52,8,72,19,1,0,431,3590,0,1,0,0,12,2,59,265,0,0,349,165,1,345,15,442
2020-06-12,0,80,0,8,35,5,6,0,0,1214,0,1416,70,7,53,8,79,20,1,0,440,3717,0,1,0,0,13,3,63,272,0,0,367,174,1,365,21,451
2020-06-13,0,82,0,8,35,5,6,0,0,1271,0,1449,78,7,55,8,82,20,1,0,447,3830,0,1,0,0,13,3,65,282,0,0,397,182,1,385,23,463
2020-06-14,0,84,0,8,36,5,6,0,0,1327,0,1478,88,7,59,8,87,20,1,0,459,3950,0,1,0,0,14,4,67,292,0,0,435,185,1,399,24,475
2020-06-15,0,86,0,8,38,6,6,0,0,1400,0,1506,100,7,62,8,89,21,1,0,465,4128,0,1,0,0,14,4,71,301,0,0,479,187,1,417,24,485
2020-06-16,0,88,0,8,39,6,9,0,0,1837,0,1534,103,7,63,9,95,21,1,0,476,5537,0,1,0,0,14,4,72,308,0,0,528,191,1,417,25,495
2020-06-17,0,90,0,8,39,6,9,0,0,1904,0,1561,118,7,64,10,103,21,1,0,482,5651,0,1,0,0,14,5,78,309,0,0,576,192,1,465,26,506
2020-06-18,0,92,0,9,44,6,9,0,0,1904,0,1592,134,7,71,11,115,22,1,0,486,5751,0,1,0,0,14,5,83,330,0,0,625,195,1,488,26,518
2020-06-19,0,96,0,9,49,6,10,0,0,2035,0,1619,144,7,75,11,125,22,1,0,495,5893,0,1,0,0,14,7,92,333,0,0,666,198,1,507,26,529
2020-06-20,0,101,0,9,49,6,11,0,0,2112,0,1639,149,7,81,11,133,22,1,0,501,6053,0,1,0,0,15,7,98,337,0,0,704,203,1,529,27,540
2020-06-21,0,106,0,9,51,6,11,0,0,2175,0,1664,160,7,82,11,138,22,1,0,515,6170,0,1,0,0,19,8,99,341,0,0,757,210,1,550,27,555
2020-06-22,0,111,0,9,52,6,12,0,0,2233,1,1685,169,7,85,11,142,22,1,0,521,6283,0,1,0,0,21,8,101,356,0,0,794,217,1,569,28,569
2020-06-23,0,119,0,9,54,6,12,0,0,2301,2,1711,178,7,87,11,150,23,1,0,525,6531,0,1,0,0,24,9,105,365,0,0,833,220,1,588,30,580
2020-06-24,0,129,1,9,55,6,12,0,0,2365,2,1736,188,7,88,12,164,23,1,0,534,6739,0,1,0,0,24,9,113,375,0,0,866,225,1,596,35,591
2020-06-25,0,136,1,9,56,6,12,0,0,2429,2,1754,198,8,90,12,170,23,1,0,542,6931,0,1,0,0,24,9,120,379,0,0,911,230,1,611,36,606
2020-06-26,0,146,1,9,56,6,13,0,0,2492,2,1772,211,8,91,12,180,23,1,0,546,7106,0,1,0,0,24,9,122,380,0,0,957,237,1,630,37,616
2020-06-27,0,157,1,10,58,6,13,0,0,2558,2,1790,218,8,93,12,191,23,1,0,550,7273,0,1,0,0,25,10,128,391,0,0,1025,243,1,649,37,629
2020-06-28,0,169,1,11,62,6,13,0,0,2623,3,1809,223,8,94,12,207,23,1,0,557,7429,0,1,0,0,28,11,133,399,0,0,1079,247,1,660,38,639
2020-06-29,0,180,1,11,63,6,13,0,0,2680,3,1828,232,8,95,15,226,24,1,0,564,7610,0,1,0,0,30,11,138,405,0,0,1141,253,1,672,39,653
2020-06-30,0,187,1,12,68,6,13,0,0,2742,3,1848,236,9,101,15,246,25,1,0,572,7855,0,1,0,0,32,12,144,413,0,0,1201,260,1,697,41,668
2020-07-01,0,193,1,12,73,6,14,0,0,2803,4,1869,240,9,105,15,253,26,1,0,581,8053,0,1,0,0,33,12,149,421,0,0,1264,267,1,718,41,683
2020-07-02,0,198,1,14,78,6,14,0,0,2864,4,1887,251,9,115,15,272,26,1,0,589,8178,0,1,0,0,35,12,152,430,0,0,1321,275,1,735,42,699
2020-07-03,0,206,1,14,84,6,14,0,0,2923,4,1905,255,9,119,15,293,26,1,0,593,8376,0,1,0,0,37,13,157,440,0,0,1385,283,1,749,42,717
2020-07-04,0,218,1,14,88,6,14,0,0,3004,6,1926,260,9,127,15,335,26,1,0,598,8376,0,1,0,0,43,14,162,443,0,0,1450,288,1,749,42,736
