Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,State Unassigned,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-04-21,11,96,0,0,0,14,0,0,0,0,0,0,0,15,0,0,0,307,0,0,148,0,0,0,0,0,29,0,0,272,0,0,341,0,0,132,0,0
2020-04-22,11,96,1,6,42,14,25,0,0,0,7,179,158,15,11,0,0,308,14,0,152,0,0,0,0,0,31,0,53,342,0,0,341,0,0,143,0,0
2020-04-23,11,141,1,6,42,14,25,0,0,0,7,258,170,15,11,0,0,316,14,0,203,789,0,0,0,0,32,0,53,342,0,0,341,0,0,186,0,0
2020-04-24,11,145,1,19,42,14,25,0,0,857,7,265,186,18,109,8,152,331,16,0,210,957,0,0,0,0,32,0,56,471,0,0,341,252,2,202,0,103
2020-04-25,11,171,1,19,42,15,32,0,0,869,7,282,191,23,112,8,152,338,16,0,281,957,0,0,0,0,34,0,58,511,0,0,341,307,2,261,0,103
2020-04-26,11,231,1,27,56,17,32,0,0,877,7,282,199,22,137,13,182,342,16,0,302,1076,2,0,0,0,35,0,86,627,0,0,341,316,2,327,26,105
2020-04-27,11,235,1,27,56,17,32,0,0,877,7,394,213,22,164,17,193,355,16,0,357,1282,2,0,0,0,37,5,100,742,0,0,341,316,2,399,23,105
2020-04-28,15,258,1,27,64,17,34,0,0,1078,7,434,224,25,176,19,207,359,16,0,373,1388,2,0,0,0,38,5,101,770,0,0,1128,374,2,462,34,109
2020-04-29,15,287,1,29,64,17,34,0,0,1092,7,527,225,25,192,19,216,369,17,0,461,1593,2,0,0,0,39,5,101,814,0,0,1210,409,2,510,36,119
2020-04-30,16,321,1,29,84,18,36,0,0,1094,7,613,235,28,216,19,229,383,17,0,482,1773,2,0,0,0,41,5,104,893,0,0,1258,442,2,551,36,124
2020-05-01,16,403,1,33,84,18,36,0,0,1167,7,736,241,30,247,21,251,392,17,0,524,1879,2,10,0,0,55,5,108,1116,0,0,1312,464,2,654,37,139
2020-05-02,26,441,1,33,98,19,36,0,0,1256,7,896,242,33,254,21,271,400,17,0,622,2000,2,10,0,0,56,5,112,1242,0,0,1341,499,2,698,39,139
2020-05-03,32,488,1,33,117,19,36,0,0,1362,7,1042,245,34,287,27,293,401,17,0,798,2115,2,10,0,0,60,6,117,1356,0,0,1379,545,2,754,39,151
2020-05-04,32,524,1,33,124,21,36,0,0,1431,7,1195,254,34,303,27,321,462,17,0,856,2465,2,10,0,0,60,6,128,1438,0,0,1409,585,2,802,39,218
2020-05-05,32,589,1,33,160,21,36,0,0,1468,7,1381,256,34,320,33,331,462,17,0,1000,2819,2,10,1,0,60,6,133,1525,0,0,1485,628,2,987,39,264
2020-05-06,32,729,1,35,188,21,36,0,0,1542,7,1500,260,34,322,37,354,469,17,0,1099,3094,2,10,1,0,61,6,135,1739,0,0,1516,648,2,1130,39,265
2020-05-07,33,780,1,35,218,21,36,0,0,1931,7,1709,260,34,335,41,366,474,17,0,1231,3301,2,10,1,0,62,6,149,1889,0,0,1547,693,2,1250,39,296
2020-05-08,33,842,1,35,267,21,36,0,0,2020,7,1872,279,34,364,41,376,484,17,0,1349,3470,2,10,1,0,63,8,152,2011,0,0,1605,727,2,1387,45,323
2020-05-09,33,887,1,35,318,24,43,0,0,2020,7,2091,290,35,368,78,386,485,18,0,1480,3800,2,10,1,0,68,8,157,2162,0,0,1824,751,2,1499,46,372
2020-05-10,33,925,1,35,354,24,49,0,0,2069,7,2545,300,35,383,78,422,489,21,0,1676,4199,2,10,1,0,68,8,166,2241,0,0,1959,751,2,1653,46,417
2020-05-11,33,998,1,40,377,28,53,0,0,2129,7,2780,337,35,427,78,426,489,22,0,1747,4786,2,10,1,0,85,9,168,2324,0,0,2051,801,2,1758,46,499
2020-05-12,33,1056,1,40,382,28,53,0,1,2512,7,3246,342,35,455,79,433,489,22,0,1860,5125,2,10,1,0,85,9,171,2454,0,0,2134,822,2,1873,46,612
2020-05-13,33,1142,1,40,382,30,55,0,1,2858,7,3562,418,35,466,87,451,490,22,0,2004,5547,2,11,1,0,143,9,200,2573,0,0,2176,939,2,1965,46,702
2020-05-14,33,1192,1,40,400,37,56,0,1,3045,7,3753,439,35,485,87,460,493,22,0,2171,6059,2,11,1,0,158,9,223,2638,0,0,2240,952,29,2072,50,768
2020-05-15,33,1252,1,41,453,40,56,0,1,3518,7,4035,464,35,513,97,480,493,24,0,2283,6564,2,11,1,0,166,9,305,2729,0,0,2599,959,29,2165,51,829
2020-05-16,33,1353,1,41,440,51,58,0,1,3926,7,4308,514,39,542,113,496,497,24,0,2315,7088,2,11,1,0,196,9,1257,2944,0,0,3538,971,64,2441,51,892
2020-05-17,33,1456,1,42,473,51,59,0,1,4202,7,4499,562,40,575,113,509,497,24,0,2403,7688,2,11,1,0,220,9,1366,3055,0,0,4172,992,85,2636,52,959
2020-05-18,33,1552,1,42,473,54,59,0,1,4485,7,4804,598,42,609,127,530,497,43,0,2435,8437,2,12,1,0,277,9,1547,3218,0,0,4406,1002,89,2783,52,1006
2020-05-19,33,1621,1,42,517,57,59,0,1,4750,7,5043,627,45,647,127,543,497,43,0,2631,9639,2,12,1,0,307,10,1642,3337,0,0,4895,1011,116,2918,52,1074
2020-05-20,33,1664,1,49,571,136,59,0,1,5192,7,5219,648,50,678,129,556,502,43,0,2734,10318,2,12,1,0,343,10,1794,3404,0,0,5882,1013,116,3066,53,1136
2020-05-21,33,1705,1,55,571,165,59,0,1,5567,7,5488,681,55,684,136,571,510,43,0,2844,11726,2,12,1,0,393,10,1819,3485,0,0,6282,1036,148,3204,53,1193
2020-05-22,33,1731,1,55,629,178,59,0,1,5897,7,5880,706,55,720,136,597,512,43,0,3089,12583,2,12,1,0,436,10,1847,3670,0,0,7128,1043,148,3204,53,1221
2020-05-23,33,1779,1,57,629,179,64,0,1,6267,16,6169,750,57,774,141,608,515,43,0,3267,13404,2,12,1,0,497,10,1870,3786,0,0,7491,1068,152,3406,55,1281
2020-05-24,33,1841,1,58,702,179,64,0,1,6540,16,6412,765,59,809,148,654,520,43,0,3408,14600,2,12,1,0,550,12,1898,3848,0,0,8324,1092,165,3538,58,1339
2020-05-25,33,1892,1,63,733,187,67,0,1,6771,19,6636,802,63,809,148,705,532,43,0,3571,15786,4,12,1,0,649,17,1913,4056,0,0,8731,1164,165,3660,58,1414
2020-05-26,33,2017,1,63,800,187,79,0,1,6954,28,7139,824,63,833,148,748,542,43,0,3689,16954,4,12,1,0,733,17,1918,4276,0,0,9342,1284,165,3824,64,1486
2020-05-27,33,2065,1,88,918,187,83,0,1,7264,37,7549,838,66,854,191,765,552,43,0,3927,17918,4,12,1,0,812,17,1918,4562,0,0,9909,1321,165,3991,79,1578
2020-05-28,33,2133,1,104,918,189,83,0,1,7495,38,8003,881,73,859,191,818,555,43,0,4050,18616,4,12,1,0,887,17,1946,4815,0,0,10548,1345,167,4215,79,1668
2020-05-29,33,2234,1,126,1050,189,100,0,1,7846,41,8611,940,83,875,216,894,565,43,0,4269,26997,6,12,1,0,977,17,1949,5244,0,0,11313,1381,167,4410,102,1775
2020-05-30,33,2289,1,164,1311,199,102,0,1,8075,42,9232,971,107,908,256,997,575,43,0,4444,28081,6,12,1,0,1050,23,1967,5739,0,0,12000,1412,172,4651,102,1970
2020-05-31,33,2340,1,164,1311,199,114,0,1,8478,44,9919,1048,109,927,256,1218,590,47,0,4842,29329,11,12,1,0,1126,23,1987,6032,0,0,12757,1428,172,4843,102,2157
2020-06-01,33,2374,1,285,1741,214,121,0,1,8746,50,10780,1055,118,946,256,1328,608,47,0,5003,30108,11,12,1,0,1245,25,2000,6213,0,0,13170,1491,173,5030,222,2306
2020-06-02,33,2414,1,338,1803,214,130,0,1,9243,57,11894,1069,136,953,296,1403,627,47,0,5221,31333,14,12,1,0,1245,25,2017,6435,0,0,13706,1526,173,5176,252,2410
2020-06-03,33,2464,1,414,2025,214,170,0,1,9542,57,12212,1089,146,1007,297,1514,651,48,0,5445,32329,38,13,1,0,1416,30,2029,6744,0,0,14316,1556,173,5257,259,2580
2020-06-04,33,2529,1,460,2120,222,206,0,1,9898,57,12667,1123,175,1048,366,1610,690,48,0,5637,33681,38,13,1,0,1481,33,2043,7104,0,0,14901,1587,173,5439,297,2768
2020-06-05,33,2565,1,510,2233,273,231,0,1,10315,65,13011,1209,183,1086,435,1693,712,48,0,5878,35156,38,13,1,0,1604,43,2069,7359,0,0,15762,1627,173,5648,344,2912
2020-06-06,33,2640,1,589,2298,273,259,0,1,10664,65,13324,1280,188,1126,410,1973,762,50,0,6108,37390,52,13,1,8,1716,48,2092,7501,0,0,16395,1710,173,5908,422,3119
2020-06-07,33,2669,1,637,2405,273,266,0,2,10999,65,13643,1474,219,1216,490,2132,803,50,0,6331,39314,52,13,1,8,1894,49,2106,7754,0,0,16999,1742,192,6185,528,3303
2020-06-08,33,2720,1,785,2542,274,335,0,2,11357,67,13964,1700,223,1324,519,2519,814,50,0,6536,40975,58,13,1,8,1993,53,2128,8110,0,0,17527,1742,192,6344,714,3465
2020-06-09,33,2775,2,1098,2770,285,347,0,2,11861,67,14373,1807,237,1506,559,2605,848,50,0,6729,42639,64,13,1,8,2133,55,2167,8328,0,0,18325,1742,192,6669,755,3620
2020-06-10,33,2869,4,1249,2934,289,351,0,2,12245,67,14743,2188,247,1671,592,2862,905,50,0,6892,44516,64,13,1,22,2282,60,2232,8569,3,0,19333,1817,238,6971,831,3779
2020-06-11,33,2968,4,1432,3086,293,421,0,2,12731,67,15109,2261,276,1820,630,2976,967,54,0,7042,46078,73,18,1,29,2354,67,2259,8775,3,0,20705,1993,278,7292,886,3988
2020-06-12,33,3091,4,1585,3316,295,544,0,2,13398,69,15501,2475,293,2086,685,3440,999,62,0,7201,47796,73,22,1,49,2474,76,2282,9011,3,0,22047,2178,278,7609,947,4206
2020-06-13,33,3185,6,1806,3686,295,631,0,2,14945,70,15891,2803,308,2269,816,3648,1045,68,0,7377,49346,73,23,1,84,2594,82,2327,9337,5,0,23409,2352,315,7875,1077,4542
2020-06-14,33,3316,7,1961,3975,295,715,0,2,15823,74,16333,3003,326,2389,816,3960,1101,80,0,7677,50978,91,26,1,96,2708,91,2356,9566,5,0,24547,2377,433,8268,1111,5060
2020-06-15,33,3385,7,2206,4226,301,833,0,2,16427,85,16672,3565,342,2604,905,4140,1174,82,0,7903,56049,151,26,1,88,2854,95,2443,9785,5,0,25344,2766,433,8610,1189,5494
2020-06-16,33,3513,7,2412,4571,301,934,0,9,16500,85,17090,3567,361,2781,1121,4456,1234,85,0,8152,57851,159,28,1,103,2974,99,2461,9962,8,0,26782,3027,556,8610,1216,6028
2020-06-17,33,3641,10,2643,4776,306,1099,0,12,17457,96,17438,3770,368,2914,1151,4804,1324,92,0,8388,59166,192,31,1,103,3047,109,2538,10125,4,0,27624,3071,556,9239,1254,6532
2020-06-18,35,3772,11,2849,4961,306,1202,0,14,17457,109,17827,4556,373,3144,1198,4983,1413,95,0,8632,60838,199,32,1,109,3144,116,2570,10742,4,0,28641,3301,639,9638,1386,7001
2020-06-19,35,3905,11,3067,5098,315,1305,0,14,23569,118,18167,4889,385,3194,1335,5210,1509,95,0,8748,62773,218,32,9,125,3297,118,2636,10997,21,0,30271,3352,657,9995,1433,7303
2020-06-20,35,4111,15,3203,5367,316,1368,0,26,31294,129,18702,5128,405,3336,1404,5391,1566,117,0,8880,64153,232,32,9,138,3534,131,2678,11274,21,0,31316,3506,657,10369,1450,7865
2020-06-21,37,4307,21,3405,5631,316,1421,0,26,33013,135,19357,5557,417,3382,1406,5618,1659,134,0,9015,65744,250,37,9,141,3720,140,2700,11395,21,0,32754,3731,759,10995,1500,8297
2020-06-22,37,4435,22,3566,5767,322,1487,0,27,36602,152,19917,5916,429,3531,1469,5730,1747,136,0,9215,67706,250,37,12,141,3863,149,2825,11910,21,0,34112,4005,782,11601,1521,8687
2020-06-23,40,4592,38,3763,6027,322,1527,0,27,39313,205,20521,6498,432,3642,1469,6004,1807,148,0,9335,69631,258,41,19,141,3988,165,3047,12213,29,0,35339,4224,782,12116,1602,9218
2020-06-24,41,4779,38,3959,6106,322,1601,0,30,41437,289,21096,6925,466,3818,1575,6153,1888,274,0,9473,73792,328,41,24,148,4123,176,3099,12611,39,0,37763,4361,904,12586,1721,9702
2020-06-25,41,4988,42,4034,6480,329,1729,0,32,44765,335,21506,7380,474,3967,1605,6672,1941,358,0,9619,77453,354,41,30,160,4291,187,3192,12840,39,0,39999,4688,1026,13119,1758,10190
