,VDA,LIG,PIE,LOM,VEN,TN,BZ,FVG,EMR,MAR,TOS,UMB,LAZ,ABR,MOL,CAM,BAS,PUG,CAL,SIC,SAR,New Cases,Total Cases,Daily Deaths,Total Deaths,ICU,Total Active,Recoveries,Total Tests
1/31/2020,,,,,,,,,,,,,2,,,,,,,,,2,2,?,?,?,2,?,
2/6/2020,,,,,,,,,,,,,1,,,,,,,,,1,3,?,?,?,3,?,
2/21/2020,,,,15,(1)ÿ2,,,,,,,,,,,,,,,,,17,20,1,1,?,19,?,
2/22/2020,,,1,(1)ÿ40,16,,,,2,,,,,,,,,,,,,59,79,1,2,18,75,?,
2/23/2020,,,2,(1)ÿ57,7,,,,7,,,,,,,,,,,,,71,150,1,3,25,147,?,
2/24/2020,,,,(4)ÿ61,7,,,,9,,,,,,,,,,,,,77,227,4,7,27,199,1,
2/25/2020,,1,,(2)ÿ67,(1)ÿ11,,1,,8,,2,,,,,,,,,3,,93,320,3,10,35,309,1,">8,600"
2/26/2020,,10,,(1)ÿ65,28,,,,(1)ÿ21,1,,,,,,,,,,,,125,445,2,12,36,430,3,"9,587"
2/27/2020,,8,1,(5)ÿ98,40,,,,50,2,,,,1,,3,,1,,1,,205,650,5,17,56,588,45,"12,014"
2/28/2020,,,9,(3)ÿ128,40,,,,(1)ÿ48,3,6,,,,,1,,2,1,,,238,888,4,21,64,821,46,"15,695"
2/29/2020,,23,,(6)ÿ84,40,,,,(2)ÿ72,5,3,,3,1,,9,,,,,,240,"1,128",8,29,105,"1,049",50,"18,661"
3/1/2020,,?17,38,(1)ÿ369,72,,,6,(4)ÿ68,14,2,2,,3,,4,,,,5,,566,"1,694",5,34,140,"1,577",83,"21,127"
3/2/2020,,?3,2,(14)ÿ270,10,,,3,(3)ÿ50,(1)ÿ10,,,1,,,,,1,,?2,,342,"2,036",18,52,166,"1,835",149,"23,345"
3/3/2020,,(1)ÿ2,5,(17)ÿ266,(1)ÿ34,4,,4,(7)ÿ85,(1)ÿ26,6,6,7,1,3,13,1,2,,,1,466,"2,502",27,79,229,"2,263",160,"25,856"
3/4/2020,,2,26,(18)ÿ300,(3)ÿ53,1,,5,(4)ÿ124,(2)ÿ23,19,1,16,1,,1,,(1)ÿ3,,11,1,587,"3,089",28,107,295,"2,706",276,"29,837"
3/5/2020,2,(2)ÿ2,(2)ÿ26,(25)ÿ431,(4)ÿ47,2,,3,(8)ÿ154,40,23,,14,1,4,14,,5,1,,,769,"3,858",41,148,351,"3,296",414,"32,362"
3/6/2020,5,4,(2)ÿ35,(37)ÿ361,(2)ÿ81,3,3,10,(7)ÿ172,35,18,7,(1)ÿ10,1,5,12,2,3,2,6,3,778,"4,636",49,197,462,"3,916",523,"36,359"
3/7/2020,1,(1)ÿ19,(1)ÿ64,(19)ÿ808,(1)ÿ55,4,5,11,(11)ÿ140,(2)ÿ48,34,8,22,2,2,4,,(1)ÿ9,,11,,"1,247","5,883",36,233,567,"5,061",589,"42,062"
