,Belgorod Oblast,Bryansk Oblast,Ivanovo Oblast,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Moscow Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Moscow,Republic of Karelia,Komi Republic,Arkhangelsk Oblast,Kaliningrad Oblast,Leningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Vologda Oblast,Saint Petersburg,Nenets AO,Adygea,Republic of Crimea,Kalmykia,Krasnodar Krai,Astrakhan Oblast,Rostov Oblast,Volgograd Oblast,Sevastopol,Chechnya,Dagestan,Ingushetia,Kabardino-Balkaria,Karachay-Cherkessia,North Ossetia-Alania,Stavropol Krai,Bashkortostan,Chuvashia,Mari El,Mordovia,Tatarstan,Udmurtia,Perm Krai,Kirov Oblast,Nizhny Novgorod Oblast,Orenburg Oblast,Penza Oblast,Samara Oblast,Saratov Oblast,Ulyanovsk Oblast,Chelyabinsk Oblast,Kurgan Oblast,Sverdlovsk Oblast,Tyumen Oblast,Khanty-Mansi AO,Yamalo-Nenets AO,Altai Republic,Khakassia,Tuva,Altai Krai,Krasnoyarsk Krai,Irkutsk Oblast,Kemerovo Oblast,Novosibirsk Oblast,Omsk Oblast,Tomsk Oblast,Buryatia,Yakutia,Kamchatka Krai,Khabarovsk Krai,Primorsky Krai,Zabaykalsky Krai,Amur Oblast,Magadan Oblast,Sakhalin Oblast,Chukotka AO,Jewish AO,New Cases,Total Cases,Daily Recoveries,Total Recoveries,Daily Deaths,Total Deaths,Total Tests
31-Jan-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,2,0,0,0,0,
11-Feb-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0,0,
12-Feb-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,2,0,0,
02-Mar-20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,2,0,0,
05-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,2,0,0,"46,414"
06-Mar-20,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,1,3,0,0,"51,366"
07-Mar-20,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,3,0,0,"55,688"
08-Mar-20,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,0,3,0,0,"59,960"
09-Mar-20,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,0,3,0,0,"63,191"
11-Mar-20,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,28,0,3,0,0,"70,601"
12-Mar-20,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34,0,3,0,0,"76,963"
13-Mar-20,,,,,,,,1,,,,,,,,,,5,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,45,0,3,0,0,
14-Mar-20,,,,,,,,1,,,,,,,,,,9,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,14,59,0,3,0,0,"94,852"
15-Mar-20,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,63,0,3,0,0,"104,883"
16-Mar-20,,,,,,,,1,,,,,,,,,,20,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,93,1,4,0,0,"109,939"
17-Mar-20,,,,1,,,,1,,,,1,,2,,,1,4,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,2,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,21,114,1,5,0,0,"116,061"
18-Mar-20,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,33,147,0,5,0,0,"122,854"
19-Mar-20,,,1,,,,,5,,1,,2,3,1,,2,,12,,,,,,1,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,1,2,1,1,,,1,,,,5,,1,,,,,,3,,,1,,,,1,,3,,,,,,,,52,199,0,5,0,0,"133,101"
