,Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
0,Wales,W92000004,Nation,2020-06-05,4.0,1383
1,Scotland,S92000003,Nation,2020-06-05,9.0,2395
2,Northern Ireland,N92000002,Nation,2020-06-05,1.0,535
3,United Kingdom,K02000001,UK,2020-06-05,357.0,40261
4,England,E92000001,Nation,2020-06-05,343.0,35948
5,Wales,W92000004,Nation,2020-06-04,8.0,1379
6,Scotland,S92000003,Nation,2020-06-04,11.0,2386
7,Northern Ireland,N92000002,Nation,2020-06-04,8.0,534
8,United Kingdom,K02000001,UK,2020-06-04,176.0,39904
9,England,E92000001,Nation,2020-06-04,149.0,35605
10,Wales,W92000004,Nation,2020-06-03,17.0,1371
11,Scotland,S92000003,Nation,2020-06-03,12.0,2375
12,Northern Ireland,N92000002,Nation,2020-06-03,2.0,526
13,United Kingdom,K02000001,UK,2020-06-03,359.0,39728
14,England,E92000001,Nation,2020-06-03,328.0,35456
15,Wales,W92000004,Nation,2020-06-02,7.0,1354
16,Scotland,S92000003,Nation,2020-06-02,1.0,2363
17,Northern Ireland,N92000002,Nation,2020-06-02,1.0,524
18,United Kingdom,K02000001,UK,2020-06-02,324.0,39369
19,England,E92000001,Nation,2020-06-02,315.0,35128
20,Wales,W92000004,Nation,2020-06-01,5.0,1347
21,Scotland,S92000003,Nation,2020-06-01,9.0,2362
22,Northern Ireland,N92000002,Nation,2020-06-01,1.0,523
23,United Kingdom,K02000001,UK,2020-06-01,111.0,39045
24,England,E92000001,Nation,2020-06-01,96.0,34813
25,Wales,W92000004,Nation,2020-05-31,11.0,1342
26,Scotland,S92000003,Nation,2020-05-31,22.0,2353
27,Northern Ireland,N92000002,Nation,2020-05-31,1.0,522
28,United Kingdom,K02000001,UK,2020-05-31,115.0,38934
29,England,E92000001,Nation,2020-05-31,81.0,34717
30,Wales,W92000004,Nation,2020-05-30,14.0,1331
31,Scotland,S92000003,Nation,2020-05-30,15.0,2331
32,Northern Ireland,N92000002,Nation,2020-05-30,3.0,521
33,United Kingdom,K02000001,UK,2020-05-30,226.0,38819
34,England,E92000001,Nation,2020-05-30,194.0,34636
35,Wales,W92000004,Nation,2020-05-29,10.0,1317
36,Scotland,S92000003,Nation,2020-05-29,12.0,2316
37,Northern Ireland,N92000002,Nation,2020-05-29,2.0,518
38,United Kingdom,K02000001,UK,2020-05-29,373.0,38593
39,England,E92000001,Nation,2020-05-29,349.0,34442
40,Wales,W92000004,Nation,2020-05-28,14.0,1307
41,Scotland,S92000003,Nation,2020-05-28,13.0,2304
42,Northern Ireland,N92000002,Nation,2020-05-28,2.0,516
43,United Kingdom,K02000001,UK,2020-05-28,413.0,38220
44,England,E92000001,Nation,2020-05-28,384.0,34093
45,Wales,W92000004,Nation,2020-05-27,11.0,1293
46,Scotland,S92000003,Nation,2020-05-27,18.0,2291
47,Northern Ireland,N92000002,Nation,2020-05-27,0.0,514
48,United Kingdom,K02000001,UK,2020-05-27,434.0,37807
49,England,E92000001,Nation,2020-05-27,405.0,33709
50,Wales,W92000004,Nation,2020-05-26,8.0,1282
51,Scotland,S92000003,Nation,2020-05-26,3.0,2273
52,Northern Ireland,N92000002,Nation,2020-05-26,8.0,514
53,United Kingdom,K02000001,UK,2020-05-26,136.0,37373
54,England,E92000001,Nation,2020-05-26,117.0,33304
55,Wales,W92000004,Nation,2020-05-25,7.0,1274
56,Scotland,S92000003,Nation,2020-05-25,9.0,2270
57,Northern Ireland,N92000002,Nation,2020-05-25,1.0,506
58,United Kingdom,K02000001,UK,2020-05-25,121.0,37237
59,England,E92000001,Nation,2020-05-25,104.0,33187
60,Wales,W92000004,Nation,2020-05-24,7.0,1267
61,Scotland,S92000003,Nation,2020-05-24,16.0,2261
62,Northern Ireland,N92000002,Nation,2020-05-24,1.0,505
63,United Kingdom,K02000001,UK,2020-05-24,441.0,37116
64,England,E92000001,Nation,2020-05-24,417.0,33083
65,Wales,W92000004,Nation,2020-05-23,6.0,1260
66,Scotland,S92000003,Nation,2020-05-23,24.0,2245
67,Northern Ireland,N92000002,Nation,2020-05-23,3.0,504
68,United Kingdom,K02000001,UK,2020-05-23,282.0,36675
69,England,E92000001,Nation,2020-05-23,249.0,32666
70,Wales,W92000004,Nation,2020-05-22,7.0,1254
71,Scotland,S92000003,Nation,2020-05-22,37.0,2221
72,Northern Ireland,N92000002,Nation,2020-05-22,7.0,501
73,United Kingdom,K02000001,UK,2020-05-22,351.0,36393
74,England,E92000001,Nation,2020-05-22,300.0,32417
75,Wales,W92000004,Nation,2020-05-21,9.0,1247
76,Scotland,S92000003,Nation,2020-05-21,50.0,2184
77,Northern Ireland,N92000002,Nation,2020-05-21,5.0,494
78,United Kingdom,K02000001,UK,2020-05-21,338.0,36042
79,England,E92000001,Nation,2020-05-21,274.0,32117
80,Wales,W92000004,Nation,2020-05-20,14.0,1238
