Date,England,Northern Ireland,Scotland,United Kingdom,Wales
01/30/2020,0.0,0.0,0.0,0.0,0.0
01/31/2020,0.0,0.0,0.0,0.0,0.0
02/01/2020,0.0,0.0,0.0,0.0,0.0
02/02/2020,0.0,0.0,0.0,0.0,0.0
02/03/2020,0.0,0.0,0.0,0.0,0.0
02/04/2020,0.0,0.0,0.0,0.0,0.0
02/05/2020,0.0,0.0,0.0,0.0,0.0
02/06/2020,0.0,0.0,0.0,0.0,0.0
02/07/2020,0.0,0.0,0.0,0.0,0.0
02/08/2020,0.0,0.0,0.0,0.0,0.0
02/09/2020,0.0,0.0,0.0,0.0,0.0
02/10/2020,0.0,0.0,0.0,0.0,0.0
02/11/2020,0.0,0.0,0.0,0.0,0.0
02/12/2020,0.0,0.0,0.0,0.0,0.0
02/13/2020,0.0,0.0,0.0,0.0,0.0
02/14/2020,0.0,0.0,0.0,0.0,0.0
02/15/2020,0.0,0.0,0.0,0.0,0.0
02/16/2020,0.0,0.0,0.0,0.0,0.0
02/17/2020,0.0,0.0,0.0,0.0,0.0
02/18/2020,0.0,0.0,0.0,0.0,0.0
02/19/2020,0.0,0.0,0.0,0.0,0.0
02/20/2020,0.0,0.0,0.0,0.0,0.0
02/21/2020,0.0,0.0,0.0,0.0,0.0
02/22/2020,0.0,0.0,0.0,0.0,0.0
02/23/2020,0.0,0.0,0.0,0.0,0.0
02/24/2020,0.0,0.0,0.0,0.0,0.0
02/25/2020,0.0,0.0,0.0,0.0,0.0
02/26/2020,0.0,0.0,0.0,0.0,0.0
02/27/2020,0.0,0.0,0.0,0.0,0.0
02/28/2020,0.0,0.0,0.0,0.0,0.0
02/29/2020,0.0,0.0,0.0,0.0,0.0
03/01/2020,0.0,0.0,0.0,0.0,0.0
03/02/2020,0.0,0.0,0.0,0.0,0.0
03/03/2020,0.0,0.0,0.0,0.0,0.0
03/04/2020,0.0,0.0,0.0,0.0,0.0
03/05/2020,0.0,0.0,0.0,0.0,0.0
03/06/2020,,0.0,0.0,1.0,0.0
03/07/2020,1.0,0.0,0.0,2.0,0.0
03/08/2020,1.0,0.0,0.0,2.0,0.0
03/09/2020,2.0,0.0,0.0,3.0,0.0
03/10/2020,6.0,0.0,0.0,7.0,0.0
03/11/2020,6.0,0.0,0.0,7.0,0.0
03/12/2020,8.0,0.0,0.0,9.0,0.0
03/13/2020,9.0,0.0,0.0,10.0,0.0
03/14/2020,27.0,0.0,0.0,28.0,0.0
03/15/2020,41.0,0.0,,43.0,0.0
03/16/2020,63.0,0.0,0.0,65.0,0.0
03/17/2020,78.0,0.0,0.0,81.0,
03/18/2020,111.0,0.0,1.0,115.0,0.0
03/19/2020,153.0,0.0,2.0,158.0,0.0
03/20/2020,185.0,,5.0,194.0,0.0
03/21/2020,239.0,0.0,5.0,250.0,2.0
03/22/2020,263.0,1.0,6.0,285.0,11.0
03/23/2020,330.0,1.0,9.0,359.0,15.0
03/24/2020,473.0,2.0,13.0,508.0,16.0
03/25/2020,650.0,4.0,15.0,694.0,21.0
03/26/2020,819.0,6.0,21.0,877.0,27.0
