Date,England,Northern Ireland,Scotland,United Kingdom,Wales
01/30/2020,0.0,0.0,0.0,0.0,0.0
01/31/2020,0.0,0.0,0.0,0.0,0.0
02/01/2020,0.0,0.0,0.0,0.0,0.0
02/02/2020,0.0,0.0,0.0,0.0,0.0
02/03/2020,0.0,0.0,0.0,0.0,0.0
02/04/2020,0.0,0.0,0.0,0.0,0.0
02/05/2020,0.0,0.0,0.0,0.0,0.0
02/06/2020,0.0,0.0,0.0,0.0,0.0
02/07/2020,0.0,0.0,0.0,0.0,0.0
02/08/2020,0.0,0.0,0.0,0.0,0.0
02/09/2020,0.0,0.0,0.0,0.0,0.0
02/10/2020,0.0,0.0,0.0,0.0,0.0
02/11/2020,0.0,0.0,0.0,0.0,0.0
02/12/2020,0.0,0.0,0.0,0.0,0.0
02/13/2020,0.0,0.0,0.0,0.0,0.0
02/14/2020,0.0,0.0,0.0,0.0,0.0
02/15/2020,0.0,0.0,0.0,0.0,0.0
02/16/2020,0.0,0.0,0.0,0.0,0.0
02/17/2020,0.0,0.0,0.0,0.0,0.0
02/18/2020,0.0,0.0,0.0,0.0,0.0
02/19/2020,0.0,0.0,0.0,0.0,0.0
02/20/2020,0.0,0.0,0.0,0.0,0.0
02/21/2020,0.0,0.0,0.0,0.0,0.0
02/22/2020,0.0,0.0,0.0,0.0,0.0
02/23/2020,0.0,0.0,0.0,0.0,0.0
02/24/2020,0.0,0.0,0.0,0.0,0.0
02/25/2020,0.0,0.0,0.0,0.0,0.0
02/26/2020,0.0,0.0,0.0,0.0,0.0
02/27/2020,0.0,0.0,0.0,0.0,0.0
02/28/2020,0.0,0.0,0.0,0.0,0.0
02/29/2020,0.0,0.0,0.0,0.0,0.0
03/01/2020,0.0,0.0,0.0,0.0,0.0
03/02/2020,0.0,0.0,0.0,0.0,0.0
03/03/2020,0.0,0.0,0.0,0.0,0.0
03/04/2020,0.0,0.0,0.0,0.0,0.0
03/05/2020,0.0,0.0,0.0,0.0,0.0
03/06/2020,,0.0,0.0,1.0,0.0
03/07/2020,1.0,0.0,0.0,1.0,0.0
03/08/2020,0.0,0.0,0.0,0.0,0.0
03/09/2020,1.0,0.0,0.0,1.0,0.0
03/10/2020,4.0,0.0,0.0,4.0,0.0
03/11/2020,0.0,0.0,0.0,0.0,0.0
03/12/2020,2.0,0.0,0.0,2.0,0.0
03/13/2020,1.0,0.0,0.0,1.0,0.0
03/14/2020,18.0,0.0,0.0,18.0,0.0
03/15/2020,14.0,0.0,,15.0,0.0
03/16/2020,22.0,0.0,0.0,22.0,0.0
03/17/2020,15.0,0.0,0.0,16.0,
03/18/2020,33.0,0.0,1.0,34.0,0.0
03/19/2020,42.0,0.0,1.0,43.0,0.0
03/20/2020,32.0,,3.0,36.0,0.0
03/21/2020,54.0,0.0,0.0,56.0,2.0
03/22/2020,24.0,1.0,1.0,35.0,9.0
03/23/2020,67.0,0.0,3.0,74.0,4.0
03/24/2020,143.0,1.0,4.0,149.0,1.0
03/25/2020,177.0,2.0,2.0,186.0,5.0
03/26/2020,169.0,2.0,6.0,183.0,6.0
