Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
01/30/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01/31/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
02/01/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
02/02/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
02/03/2020,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
02/04/2020,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
02/05/2020,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0
02/06/2020,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0
02/07/2020,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0
02/08/2020,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0
02/09/2020,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0
02/10/2020,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0
02/11/2020,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,2.0
02/12/2020,0.0,1.0,1.0,0.0,0.0,7.0,2.0,1.0,2.0
02/13/2020,0.0,1.0,2.0,0.0,0.0,7.0,2.0,1.0,2.0
02/14/2020,0.0,1.0,2.0,0.0,0.0,7.0,2.0,1.0,2.0
02/15/2020,0.0,1.0,2.0,0.0,0.0,7.0,2.0,1.0,2.0
02/16/2020,0.0,1.0,2.0,0.0,0.0,7.0,2.0,1.0,2.0
02/17/2020,0.0,1.0,3.0,0.0,0.0,7.0,2.0,1.0,2.0
02/18/2020,0.0,1.0,3.0,0.0,0.0,7.0,2.0,1.0,2.0
02/19/2020,0.0,1.0,4.0,0.0,0.0,7.0,2.0,1.0,2.0
02/20/2020,0.0,1.0,4.0,0.0,0.0,7.0,2.0,1.0,2.0
02/21/2020,1.0,1.0,4.0,0.0,0.0,7.0,2.0,1.0,2.0
02/22/2020,1.0,1.0,4.0,0.0,0.0,7.0,2.0,1.0,2.0
02/23/2020,1.0,1.0,6.0,0.0,0.0,8.0,2.0,2.0,2.0
02/24/2020,1.0,1.0,6.0,0.0,0.0,9.0,2.0,2.0,2.0
02/25/2020,2.0,1.0,8.0,0.0,0.0,10.0,2.0,2.0,2.0
02/26/2020,2.0,1.0,8.0,0.0,0.0,10.0,3.0,2.0,2.0
02/27/2020,3.0,1.0,9.0,0.0,0.0,13.0,3.0,2.0,2.0
02/28/2020,4.0,2.0,14.0,0.0,1.0,14.0,3.0,2.0,4.0
02/29/2020,5.0,2.0,15.0,0.0,1.0,14.0,3.0,2.0,5.0
03/01/2020,6.0,5.0,23.0,0.0,9.0,17.0,5.0,4.0,9.0
03/02/2020,8.0,5.0,35.0,1.0,15.0,18.0,13.0,8.0,12.0
03/03/2020,15.0,12.0,41.0,1.0,22.0,27.0,23.0,9.0,15.0
03/04/2020,17.0,19.0,59.0,2.0,24.0,34.0,29.0,12.0,17.0
03/05/2020,20.0,20.0,73.0,4.0,34.0,38.0,33.0,18.0,19.0
03/06/2020,27.0,25.0,96.0,5.0,36.0,54.0,44.0,20.0,21.0
03/07/2020,31.0,28.0,110.0,7.0,42.0,58.0,46.0,25.0,26.0
03/08/2020,32.0,30.0,132.0,7.0,47.0,68.0,49.0,29.0,29.0
03/09/2020,42.0,34.0,186.0,10.0,54.0,92.0,54.0,37.0,36.0
03/10/2020,54.0,50.0,277.0,14.0,69.0,126.0,64.0,54.0,54.0
03/11/2020,79.0,64.0,460.0,15.0,86.0,172.0,83.0,83.0,64.0
03/12/2020,97.0,82.0,625.0,17.0,126.0,250.0,107.0,128.0,78.0
03/13/2020,119.0,119.0,761.0,23.0,167.0,302.0,138.0,168.0,90.0
03/14/2020,138.0,135.0,910.0,29.0,192.0,343.0,150.0,199.0,102.0
03/15/2020,164.0,170.0,1075.0,39.0,215.0,396.0,167.0,243.0,112.0
03/16/2020,198.0,192.0,1309.0,46.0,271.0,474.0,185.0,299.0,140.0
03/17/2020,231.0,230.0,1619.0,62.0,326.0,563.0,206.0,368.0,171.0
03/18/2020,280.0,304.0,1975.0,76.0,410.0,685.0,249.0,467.0,217.0
03/19/2020,346.0,360.0,2308.0,95.0,508.0,812.0,270.0,590.0,272.0
03/20/2020,399.0,429.0,2734.0,121.0,590.0,938.0,313.0,741.0,331.0
03/21/2020,468.0,506.0,3084.0,144.0,704.0,1067.0,355.0,866.0,408.0
03/22/2020,567.0,596.0,3520.0,164.0,821.0,1237.0,399.0,977.0,502.0
03/23/2020,684.0,793.0,4207.0,222.0,997.0,1517.0,461.0,1216.0,647.0
03/24/2020,820.0,958.0,4843.0,298.0,1252.0,1752.0,529.0,1466.0,803.0
03/25/2020,936.0,1146.0,5599.0,374.0,1508.0,2057.0,633.0,1706.0,954.0
03/26/2020,1090.0,1361.0,6361.0,471.0,1865.0,2377.0,752.0,2018.0,1133.0
03/27/2020,1226.0,1605.0,7180.0,573.0,2198.0,2708.0,881.0,2297.0,1286.0
03/28/2020,1385.0,1788.0,7757.0,686.0,2519.0,3045.0,983.0,2620.0,1493.0
03/29/2020,1514.0,1997.0,8349.0,793.0,2878.0,3340.0,1083.0,2984.0,1723.0
03/30/2020,1721.0,2297.0,9194.0,969.0,3383.0,3815.0,1246.0,3414.0,2008.0
03/31/2020,1997.0,2619.0,10109.0,1179.0,3939.0,4282.0,1386.0,3827.0,2328.0
04/01/2020,2293.0,2951.0,11072.0,1487.0,4557.0,4828.0,1569.0,4238.0,2626.0
04/02/2020,2506.0,3316.0,12095.0,1706.0,5237.0,5307.0,1752.0,4685.0,2867.0
04/03/2020,2765.0,3662.0,13031.0,1967.0,5920.0,5822.0,1938.0,5058.0,3160.0
04/04/2020,2954.0,3925.0,13748.0,2221.0,6526.0,6278.0,2112.0,5391.0,3363.0
04/05/2020,3102.0,4206.0,14352.0,2442.0,7151.0,6701.0,2265.0,5659.0,3582.0
04/06/2020,3315.0,4589.0,15189.0,2817.0,8024.0,7292.0,2449.0,5990.0,3903.0
04/07/2020,3518.0,4967.0,16092.0,3168.0,8816.0,8007.0,2662.0,6361.0,4241.0
04/08/2020,3707.0,5364.0,16924.0,3459.0,9669.0,8561.0,2897.0,6714.0,4561.0
04/09/2020,3939.0,5684.0,17694.0,3773.0,10473.0,9078.0,3143.0,7055.0,4861.0
04/10/2020,4112.0,5998.0,18267.0,4018.0,11075.0,9646.0,3377.0,7408.0,5149.0
04/11/2020,4280.0,6258.0,18759.0,4285.0,11687.0,10024.0,3550.0,7647.0,5389.0
04/12/2020,4427.0,6500.0,19173.0,4486.0,12173.0,10467.0,3728.0,7883.0,5638.0
04/13/2020,4563.0,6787.0,19738.0,4718.0,12781.0,11014.0,3921.0,8156.0,5949.0
04/14/2020,4754.0,7070.0,20295.0,4975.0,13413.0,11521.0,4106.0,8473.0,6246.0
04/15/2020,4928.0,7336.0,20849.0,5200.0,13994.0,12159.0,4316.0,8816.0,6632.0
04/16/2020,5129.0,7628.0,21339.0,5399.0,14576.0,12771.0,4555.0,9179.0,6902.0
04/17/2020,5321.0,7912.0,21764.0,5617.0,15151.0,13399.0,4770.0,9555.0,7196.0
04/18/2020,5417.0,8160.0,22070.0,5847.0,15591.0,13795.0,4915.0,9873.0,7458.0
04/19/2020,5570.0,8338.0,22316.0,6007.0,15962.0,14096.0,5069.0,10102.0,7674.0
04/20/2020,5743.0,8626.0,22694.0,6266.0,16477.0,14550.0,5242.0,10446.0,7995.0
04/21/2020,5889.0,8922.0,23035.0,6500.0,17027.0,15018.0,5416.0,10790.0,8289.0
04/22/2020,6030.0,9220.0,23310.0,6705.0,17512.0,15457.0,5568.0,11108.0,8609.0
04/23/2020,6172.0,9512.0,23628.0,6924.0,18014.0,15838.0,5744.0,11431.0,8885.0
04/24/2020,6334.0,9798.0,23875.0,7141.0,18464.0,16236.0,5866.0,11772.0,9276.0
04/25/2020,6445.0,10024.0,24035.0,7265.0,18766.0,16505.0,5955.0,12000.0,9512.0
04/26/2020,6563.0,10179.0,24125.0,7350.0,19013.0,16717.0,6013.0,12187.0,9730.0
04/27/2020,6730.0,10446.0,24314.0,7551.0,19392.0,16976.0,6139.0,12435.0,10046.0
04/28/2020,6870.0,10681.0,24494.0,7776.0,19800.0,17319.0,6252.0,12700.0,10292.0
04/29/2020,7004.0,10917.0,24744.0,7990.0,20201.0,17617.0,6382.0,12937.0,10629.0
04/30/2020,7091.0,11133.0,24999.0,8223.0,20585.0,17913.0,6463.0,13141.0,10913.0
05/01/2020,7184.0,11399.0,25194.0,8383.0,20928.0,18158.0,6576.0,13357.0,11163.0
05/02/2020,7241.0,11535.0,25321.0,8460.0,21123.0,18334.0,6642.0,13541.0,11338.0
05/03/2020,7275.0,11660.0,25386.0,8527.0,21309.0,18465.0,6716.0,13651.0,11499.0
05/04/2020,7378.0,11900.0,25536.0,8708.0,21573.0,18673.0,6790.0,13800.0,11683.0
05/05/2020,7456.0,12065.0,25670.0,8852.0,21863.0,18905.0,6856.0,14017.0,11896.0
05/06/2020,7556.0,12223.0,25813.0,8984.0,22103.0,19087.0,6922.0,14171.0,12081.0
05/07/2020,7698.0,12420.0,25955.0,9104.0,22315.0,19239.0,6984.0,14330.0,12244.0
05/08/2020,7771.0,12509.0,26049.0,9184.0,22490.0,19361.0,7025.0,14509.0,12363.0
05/09/2020,7847.0,12593.0,26109.0,9285.0,22657.0,19476.0,7069.0,14609.0,12478.0
05/10/2020,7917.0,12662.0,26145.0,9352.0,22785.0,19594.0,7114.0,14686.0,12577.0
05/11/2020,8020.0,12830.0,26213.0,9436.0,23041.0,19769.0,7171.0,14815.0,12738.0
05/12/2020,8115.0,12958.0,26288.0,9526.0,23241.0,19930.0,7196.0,14942.0,12882.0
05/13/2020,8223.0,13083.0,26373.0,9588.0,23430.0,20103.0,7230.0,15034.0,13017.0
05/14/2020,8287.0,13149.0,26459.0,9645.0,23600.0,20231.0,7265.0,15126.0,13177.0
05/15/2020,8373.0,13248.0,26517.0,9698.0,23773.0,20349.0,7292.0,15245.0,13312.0
05/16/2020,8443.0,13301.0,26541.0,9743.0,23952.0,20417.0,7320.0,15325.0,13387.0
05/17/2020,8512.0,13370.0,26574.0,9780.0,24102.0,20494.0,7345.0,15385.0,13490.0
05/18/2020,8607.0,13502.0,26629.0,9847.0,24298.0,20646.0,7385.0,15469.0,13568.0
05/19/2020,8671.0,13634.0,26678.0,9898.0,24537.0,20848.0,7419.0,15581.0,13673.0
05/20/2020,8733.0,13725.0,26736.0,9950.0,24735.0,20977.0,7471.0,15662.0,13739.0
05/21/2020,8801.0,13832.0,26785.0,9997.0,24871.0,21095.0,7493.0,15737.0,13835.0
05/22/2020,8870.0,13924.0,26825.0,10036.0,25011.0,21201.0,7519.0,15820.0,13915.0
05/23/2020,8919.0,13985.0,26835.0,10064.0,25115.0,21240.0,7537.0,15877.0,13991.0
05/24/2020,8945.0,14028.0,26853.0,10094.0,25205.0,21300.0,7549.0,15919.0,14042.0
05/25/2020,8984.0,14108.0,26873.0,10123.0,25309.0,21395.0,7570.0,15953.0,14113.0
05/26/2020,9029.0,14160.0,26901.0,10158.0,25426.0,21481.0,7593.0,16015.0,14177.0
05/27/2020,9082.0,14219.0,26938.0,10210.0,25524.0,21542.0,7624.0,16093.0,14238.0
05/28/2020,9120.0,14263.0,26973.0,10234.0,25617.0,21592.0,7660.0,16151.0,14287.0
05/29/2020,9163.0,14314.0,27005.0,10261.0,25719.0,21636.0,7684.0,16201.0,14335.0
05/30/2020,9204.0,14347.0,27022.0,10271.0,25795.0,21683.0,7702.0,16242.0,14384.0
05/31/2020,9235.0,14378.0,27037.0,10284.0,25854.0,21729.0,7727.0,16272.0,14431.0
06/01/2020,9274.0,14424.0,27057.0,10301.0,25945.0,21782.0,7750.0,16316.0,14484.0
06/02/2020,9307.0,14464.0,27073.0,10321.0,26035.0,21838.0,7771.0,16372.0,14517.0
06/03/2020,9322.0,14473.0,27099.0,10332.0,26052.0,21856.0,7800.0,16387.0,14546.0
06/04/2020,9324.0,14473.0,27099.0,10332.0,26054.0,21859.0,7809.0,16388.0,14554.0
