Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
01/30/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01/31/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
02/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/02/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/03/2020,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
02/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/05/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
02/06/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/07/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/08/2020,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
02/09/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
02/10/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/11/2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02/12/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
02/13/2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02/14/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/15/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/16/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/17/2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02/18/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/19/2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02/20/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/21/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/22/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/23/2020,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
02/24/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
02/25/2020,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
02/26/2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
02/27/2020,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
02/28/2020,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0
02/29/2020,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03/01/2020,1.0,3.0,8.0,0.0,8.0,3.0,2.0,2.0,4.0
03/02/2020,2.0,0.0,12.0,1.0,6.0,1.0,8.0,4.0,3.0
03/03/2020,7.0,7.0,6.0,0.0,7.0,9.0,10.0,1.0,3.0
03/04/2020,2.0,7.0,18.0,1.0,2.0,7.0,6.0,3.0,2.0
03/05/2020,3.0,1.0,14.0,2.0,10.0,4.0,4.0,6.0,2.0
03/06/2020,7.0,5.0,23.0,1.0,2.0,16.0,11.0,2.0,2.0
03/07/2020,4.0,3.0,14.0,2.0,6.0,4.0,2.0,5.0,5.0
03/08/2020,1.0,2.0,22.0,0.0,5.0,10.0,3.0,4.0,3.0
03/09/2020,10.0,4.0,54.0,3.0,7.0,24.0,5.0,8.0,7.0
03/10/2020,12.0,16.0,91.0,4.0,15.0,34.0,10.0,17.0,18.0
03/11/2020,25.0,14.0,183.0,1.0,17.0,46.0,19.0,29.0,10.0
03/12/2020,18.0,18.0,165.0,2.0,40.0,78.0,24.0,45.0,14.0
03/13/2020,22.0,37.0,136.0,6.0,41.0,52.0,31.0,40.0,12.0
03/14/2020,19.0,16.0,149.0,6.0,25.0,41.0,12.0,31.0,12.0
03/15/2020,26.0,35.0,165.0,10.0,23.0,53.0,17.0,44.0,10.0
03/16/2020,34.0,22.0,234.0,7.0,56.0,78.0,18.0,56.0,28.0
03/17/2020,33.0,38.0,310.0,16.0,55.0,89.0,21.0,69.0,31.0
03/18/2020,49.0,74.0,356.0,14.0,84.0,122.0,43.0,99.0,46.0
03/19/2020,66.0,56.0,333.0,19.0,98.0,127.0,21.0,123.0,55.0
03/20/2020,53.0,69.0,426.0,26.0,82.0,126.0,43.0,151.0,59.0
03/21/2020,69.0,77.0,350.0,23.0,114.0,129.0,42.0,125.0,77.0
03/22/2020,99.0,90.0,436.0,20.0,117.0,170.0,44.0,111.0,94.0
03/23/2020,117.0,197.0,687.0,58.0,176.0,280.0,62.0,239.0,145.0
03/24/2020,136.0,165.0,636.0,76.0,255.0,235.0,68.0,250.0,156.0
03/25/2020,116.0,188.0,756.0,76.0,256.0,305.0,104.0,240.0,151.0
03/26/2020,154.0,215.0,762.0,97.0,357.0,320.0,119.0,312.0,179.0
03/27/2020,136.0,244.0,819.0,102.0,333.0,331.0,129.0,279.0,153.0
03/28/2020,159.0,183.0,577.0,113.0,321.0,337.0,102.0,323.0,207.0
03/29/2020,129.0,209.0,592.0,107.0,359.0,295.0,100.0,364.0,230.0
03/30/2020,207.0,300.0,845.0,176.0,505.0,475.0,163.0,430.0,285.0
03/31/2020,276.0,322.0,915.0,210.0,556.0,467.0,140.0,413.0,320.0
04/01/2020,296.0,332.0,963.0,308.0,618.0,546.0,183.0,411.0,298.0
04/02/2020,213.0,365.0,1023.0,219.0,680.0,479.0,183.0,447.0,241.0
04/03/2020,259.0,346.0,936.0,261.0,683.0,515.0,186.0,373.0,293.0
04/04/2020,189.0,263.0,717.0,254.0,606.0,456.0,174.0,333.0,203.0
04/05/2020,148.0,281.0,604.0,221.0,625.0,423.0,153.0,268.0,219.0
04/06/2020,213.0,383.0,837.0,375.0,873.0,591.0,184.0,331.0,321.0
04/07/2020,203.0,378.0,903.0,351.0,792.0,715.0,213.0,371.0,338.0
04/08/2020,189.0,397.0,832.0,291.0,853.0,554.0,235.0,353.0,320.0
04/09/2020,232.0,320.0,770.0,314.0,804.0,517.0,246.0,341.0,300.0
04/10/2020,173.0,314.0,573.0,245.0,602.0,568.0,234.0,353.0,288.0
04/11/2020,168.0,260.0,492.0,267.0,612.0,378.0,173.0,239.0,240.0
04/12/2020,147.0,242.0,414.0,201.0,486.0,443.0,178.0,236.0,249.0
04/13/2020,136.0,287.0,565.0,232.0,608.0,547.0,193.0,273.0,311.0
04/14/2020,191.0,283.0,557.0,257.0,632.0,507.0,185.0,317.0,297.0
04/15/2020,174.0,266.0,554.0,225.0,581.0,638.0,210.0,343.0,386.0
04/16/2020,201.0,292.0,490.0,199.0,582.0,612.0,239.0,363.0,270.0
04/17/2020,192.0,284.0,425.0,218.0,575.0,628.0,215.0,376.0,294.0
04/18/2020,96.0,248.0,306.0,230.0,440.0,396.0,145.0,318.0,262.0
04/19/2020,153.0,178.0,246.0,160.0,371.0,301.0,154.0,229.0,216.0
04/20/2020,173.0,288.0,378.0,259.0,515.0,454.0,173.0,344.0,321.0
04/21/2020,146.0,296.0,341.0,234.0,550.0,468.0,174.0,344.0,294.0
04/22/2020,141.0,298.0,275.0,205.0,485.0,439.0,152.0,318.0,320.0
04/23/2020,142.0,292.0,318.0,219.0,502.0,381.0,176.0,323.0,276.0
04/24/2020,162.0,286.0,247.0,217.0,450.0,398.0,122.0,341.0,391.0
04/25/2020,111.0,226.0,160.0,124.0,302.0,269.0,89.0,228.0,236.0
04/26/2020,118.0,155.0,90.0,85.0,247.0,212.0,58.0,187.0,218.0
04/27/2020,167.0,267.0,189.0,201.0,379.0,259.0,126.0,248.0,316.0
04/28/2020,140.0,235.0,180.0,225.0,408.0,343.0,113.0,265.0,246.0
04/29/2020,134.0,236.0,250.0,214.0,401.0,298.0,130.0,237.0,337.0
04/30/2020,87.0,216.0,255.0,233.0,384.0,296.0,81.0,204.0,284.0
05/01/2020,93.0,266.0,195.0,160.0,343.0,245.0,113.0,216.0,250.0
05/02/2020,57.0,136.0,127.0,77.0,195.0,176.0,66.0,184.0,175.0
05/03/2020,34.0,125.0,65.0,67.0,186.0,131.0,74.0,110.0,161.0
05/04/2020,103.0,240.0,150.0,181.0,264.0,208.0,74.0,149.0,184.0
05/05/2020,78.0,165.0,134.0,144.0,290.0,232.0,66.0,217.0,213.0
05/06/2020,100.0,158.0,143.0,132.0,240.0,182.0,66.0,154.0,185.0
05/07/2020,142.0,197.0,142.0,120.0,212.0,152.0,62.0,159.0,163.0
05/08/2020,73.0,89.0,94.0,80.0,175.0,122.0,41.0,179.0,119.0
05/09/2020,76.0,84.0,60.0,101.0,167.0,115.0,44.0,100.0,115.0
05/10/2020,70.0,69.0,36.0,67.0,128.0,118.0,45.0,77.0,99.0
05/11/2020,103.0,168.0,68.0,84.0,256.0,175.0,57.0,129.0,161.0
05/12/2020,95.0,128.0,75.0,90.0,200.0,161.0,25.0,127.0,144.0
05/13/2020,108.0,125.0,85.0,62.0,189.0,173.0,34.0,92.0,135.0
05/14/2020,64.0,66.0,86.0,57.0,170.0,128.0,35.0,92.0,160.0
05/15/2020,86.0,99.0,58.0,53.0,173.0,118.0,27.0,119.0,135.0
05/16/2020,70.0,53.0,24.0,45.0,179.0,68.0,28.0,80.0,75.0
05/17/2020,69.0,69.0,33.0,37.0,150.0,77.0,25.0,60.0,103.0
05/18/2020,95.0,132.0,55.0,67.0,196.0,152.0,40.0,84.0,78.0
05/19/2020,64.0,132.0,49.0,51.0,239.0,202.0,34.0,112.0,105.0
05/20/2020,62.0,91.0,58.0,52.0,198.0,129.0,52.0,81.0,66.0
05/21/2020,68.0,107.0,49.0,47.0,136.0,118.0,22.0,75.0,96.0
05/22/2020,69.0,92.0,40.0,39.0,140.0,106.0,26.0,83.0,80.0
05/23/2020,49.0,61.0,10.0,28.0,104.0,39.0,18.0,57.0,76.0
05/24/2020,26.0,43.0,18.0,30.0,90.0,60.0,12.0,42.0,51.0
05/25/2020,39.0,80.0,20.0,29.0,104.0,95.0,21.0,34.0,71.0
05/26/2020,45.0,52.0,28.0,35.0,117.0,86.0,23.0,62.0,64.0
05/27/2020,53.0,59.0,37.0,52.0,98.0,61.0,31.0,78.0,61.0
05/28/2020,38.0,44.0,35.0,24.0,93.0,50.0,36.0,58.0,49.0
05/29/2020,43.0,51.0,32.0,27.0,102.0,44.0,24.0,50.0,48.0
05/30/2020,41.0,33.0,17.0,10.0,76.0,47.0,18.0,41.0,49.0
05/31/2020,31.0,31.0,15.0,13.0,59.0,46.0,25.0,30.0,47.0
06/01/2020,39.0,46.0,20.0,17.0,91.0,53.0,23.0,44.0,53.0
06/02/2020,33.0,40.0,16.0,20.0,90.0,56.0,21.0,56.0,33.0
06/03/2020,15.0,9.0,26.0,11.0,17.0,18.0,29.0,15.0,29.0
06/04/2020,2.0,0.0,0.0,0.0,2.0,3.0,9.0,1.0,8.0
