,countyFIPS,County Name,State,population
0,0,Statewide Unallocated,AL,0
1,1001,Autauga County,AL,55869
2,1003,Baldwin County,AL,223234
3,1005,Barbour County,AL,24686
4,1007,Bibb County,AL,22394
5,1009,Blount County,AL,57826
6,1011,Bullock County,AL,10101
7,1013,Butler County,AL,19448
8,1015,Calhoun County,AL,113605
9,1017,Chambers County,AL,33254
10,1019,Cherokee County,AL,26196
11,1021,Chilton County,AL,44428
12,1023,Choctaw County,AL,12589
13,1025,Clarke County,AL,23622
14,1027,Clay County,AL,13235
15,1029,Cleburne County,AL,14910
16,1031,Coffee County,AL,52342
17,1033,Colbert County,AL,55241
18,1035,Conecuh County,AL,12067
19,1037,Coosa County,AL,10663
20,1039,Covington County,AL,37049
21,1041,Crenshaw County,AL,13772
22,1043,Cullman County,AL,83768
23,1045,Dale County,AL,49172
24,1047,Dallas County,AL,37196
25,1049,DeKalb County,AL,71513
26,1051,Elmore County,AL,81209
27,1053,Escambia County,AL,36633
28,1055,Etowah County,AL,102268
29,1057,Fayette County,AL,16302
30,1059,Franklin County,AL,31362
31,1061,Geneva County,AL,26271
32,1063,Greene County,AL,8111
33,1065,Hale County,AL,14651
34,1067,Henry County,AL,17205
35,1069,Houston County,AL,105882
36,1071,Jackson County,AL,51626
37,1073,Jefferson County,AL,658573
38,1075,Lamar County,AL,13805
39,1077,Lauderdale County,AL,92729
40,1079,Lawrence County,AL,32924
41,1081,Lee County,AL,164542
42,1083,Limestone County,AL,98915
43,1085,Lowndes County,AL,9726
44,1087,Macon County,AL,18068
45,1089,Madison County,AL,372909
46,1091,Marengo County,AL,18863
47,1093,Marion County,AL,29709
48,1095,Marshall County,AL,96774
49,1097,Mobile County,AL,413210
50,1099,Monroe County,AL,20733
51,1101,Montgomery County,AL,226486
52,1103,Morgan County,AL,119679
53,1105,Perry County,AL,8923
54,1107,Pickens County,AL,19930
55,1109,Pike County,AL,33114
56,1111,Randolph County,AL,22722
57,1113,Russell County,AL,57961
58,1115,St. Clair County,AL,89512
59,1117,Shelby County,AL,217702
60,1119,Sumter County,AL,12427
61,1121,Talladega County,AL,79978
62,1123,Tallapoosa County,AL,40367
63,1125,Tuscaloosa County,AL,209355
64,1127,Walker County,AL,63521
65,1129,Washington County,AL,16326
66,1131,Wilcox County,AL,10373
67,1133,Winston County,AL,23629
68,0,Statewide Unallocated,AK,0
69,2013,Aleutians East Borough,AK,3337
70,2016,Aleutians West Census Area,AK,5634
71,2020,Municipality of Anchorage,AK,288000
72,2050,Bethel Census Area,AK,18386
73,2060,Bristol Bay Borough,AK,836
74,2068,Denali Borough,AK,2097
75,2070,Dillingham Census Area,AK,4916
76,2090,Fairbanks North Star Borough,AK,96849
77,2100,Haines Borough,AK,2530
78,2105,Hoonah-Angoon Census Area,AK,2148
79,2110,City and Borough of Juneau,AK,31974
80,2122,Kenai Peninsula Borough,AK,58708
81,2130,Ketchikan Gateway Borough,AK,13901
82,2150,Kodiak Island Borough,AK,12998
83,2158,Kusilvak Census Area,AK,8314
84,2164,Lake and Peninsula Borough,AK,1592
85,2170,Matanuska-Susitna Borough,AK,108317
86,2180,Nome Census Area,AK,10004
87,2185,North Slope Borough,AK,9832
88,2188,Northwest Arctic Borough,AK,7621
89,2195,Petersburg Census Area,AK,3266
90,2198,Prince of Wales-Hyder Census Area,AK,6203
91,2220,Sitka City and Borough,AK,8493
92,2230,Skagway Municipality,AK,1183
93,2240,Southeast Fairbanks Census Area,AK,6893
94,2261,Valdez-Cordova Census Area,AK,9202
95,2270,Wade Hampton Census Area,AK,0
96,2275,Wrangell City and Borough,AK,2502
97,2282,Yakutat City and Borough,AK,579
98,2290,Yukon-Koyukuk Census Area,AK,5230
99,0,Statewide Unallocated,AZ,0
100,4001,Apache County,AZ,71887
101,4003,Cochise County,AZ,125922
102,4005,Coconino County,AZ,143476
103,4007,Gila County,AZ,54018
104,4009,Graham County,AZ,38837
105,4011,Greenlee County,AZ,9498
106,4012,La Paz County,AZ,21108
107,4013,Maricopa County,AZ,4485414
108,4015,Mohave County,AZ,212181
109,4017,Navajo County,AZ,110924
110,4019,Pima County,AZ,1047279
111,4021,Pinal County,AZ,462789
112,4023,Santa Cruz County,AZ,46498
113,4025,Yavapai County,AZ,235099
114,4027,Yuma County,AZ,213787
115,0,Statewide Unallocated,AR,0
116,5001,Arkansas County,AR,17486
117,5003,Ashley County,AR,19657
118,5005,Baxter County,AR,41932
119,5007,Benton County,AR,279141
120,5009,Boone County,AR,37432
121,5011,Bradley County,AR,10763
122,5013,Calhoun County,AR,5189
123,5015,Carroll County,AR,28380
124,5017,Chicot County,AR,10118
125,5019,Clark County,AR,22320
126,5021,Clay County,AR,14551
127,5023,Cleburne County,AR,24919
128,5025,Cleveland County,AR,7956
129,5027,Columbia County,AR,23457
130,5029,Conway County,AR,20846
131,5031,Craighead County,AR,110332
132,5033,Crawford County,AR,63257
133,5035,Crittenden County,AR,47955
134,5037,Cross County,AR,16419
135,5039,Dallas County,AR,7009
136,5041,Desha County,AR,11361
137,5043,Drew County,AR,18219
138,5045,Faulkner County,AR,126007
139,5047,Franklin County,AR,17715
140,5049,Fulton County,AR,12477
141,5051,Garland County,AR,99386
142,5053,Grant County,AR,18265
143,5055,Greene County,AR,45325
144,5057,Hempstead County,AR,21532
145,5059,Hot Spring County,AR,33771
146,5061,Howard County,AR,13202
